vintage,year,mw,source,provenance
PSIP 2016 (Dec),2016,444.0,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2017,536.8,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2018,564.0,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2019,590.2,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2020,612.0,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2021,627.3,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2022,639.3,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2023,650.2,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2024,661.1,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2025,672.0,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2026,681.9,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2027,692.8,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2028,703.7,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2029,717.9,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2030,727.7,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2031,738.6,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2032,748.4,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2033,762.6,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2034,770.3,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2035,783.4,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2036,793.2,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2037,804.1,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2038,813.8,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2039,825.9,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2040,838.2,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2041,849.9,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2042,860.8,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2043,870.6,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2044,885.9,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
PSIP 2016 (Dec),2045,896.2,"HECO 2016 PSIP, docket 2014-0183, Oahu dist-PV total",digitized from PSIP chart; decimal years snapped to integer
IGP DER+BESS (units/scope unresolved),2006,58.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2007,58.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
IGP DER+BESS (units/scope unresolved),2008,58.0,IGP_PV.csv 'DER_BESS'; IGP docket 2018-0165 (2023 Final Report is citable vintage; on-disk series labeled 'IGP 2020' in Compare_Loads.ipynb),on-disk extract; NOT Oahu-only PV -- 2024 value 1115 exceeds Oahu PV 765; scale consistent with all-territories DER and/or PV+BESS; excluded from headline comparison
