year,world_demand_mbd,change_mbd,pct_change,episode,basis,source,world_gdp_growth_pct,gdp_source
1965,30.8799991607666,,,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",5.63,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1966,33.310001373291016,2.430000066757202,7.869999885559082,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",5.42,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1967,35.63999938964844,2.3299999237060547,6.989999771118164,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.74,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1968,38.52999877929688,2.890000104904175,8.109999656677246,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",5.95,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1969,41.970001220703125,3.440000057220459,8.930000305175781,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",5.96,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1970,45.70000076293945,3.7300000190734863,8.890000343322754,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.77,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1971,48.18000030517578,2.4800000190734863,5.429999828338623,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.11,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1972,51.880001068115234,3.700000047683716,7.679999828338623,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",5.54,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1973,56.08000183105469,4.199999809265137,8.100000381469727,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",6.46,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1974,55.290000915527344,-0.7900000214576721,-1.409999966621399,First oil shock,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",1.99,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1975,55.02999877929688,-0.2599999904632568,-0.4699999988079071,First oil shock,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",0.81,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1976,58.38999938964844,3.359999895095825,6.110000133514404,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",5.22,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1977,60.540000915527344,2.150000095367432,3.680000066757202,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.94,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1978,63.400001525878906,2.859999895095825,4.71999979019165,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.14,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1979,64.33000183105469,0.9300000071525574,1.4700000286102295,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.14,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1980,61.43000030517578,-2.900000095367432,-4.510000228881836,Second oil shock / early-80s recession,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",1.82,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1981,59.61000061035156,-1.8200000524520876,-2.9600000381469727,Second oil shock / early-80s recession,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",1.89,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1982,58.06999969482422,-1.5399999618530271,-2.5799999237060547,Second oil shock / early-80s recession,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",0.41,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1983,57.970001220703125,-0.1000000014901161,-0.1700000017881393,Second oil shock / early-80s recession,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",2.58,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1984,58.88999938964844,0.9200000166893004,1.590000033378601,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",4.73,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
1985,59.29999923706055,0.4099999964237213,0.699999988079071,,EI consumption,"Energy Institute Statistical Review of World Energy 2025, world oil consumption (thousand b/d), via OWID mirror of EI consolidated dataset",3.66,World Bank WDI NY.GDP.MKTP.KD.ZG (market exchange rates)
