hour,b_ghi_x_pv,se,mw_per_mw_at_ref,n
7,-0.0005582662393803723,8.715742914611504e-05,-0.5582662393803722,1461
8,-0.0005581362617431689,5.1622925490667035e-05,-0.5581362617431689,1461
9,-0.0006432988786738331,3.852004340478196e-05,-0.6432988786738331,1461
10,-0.0006325051934624393,3.425097235103654e-05,-0.6325051934624393,1461
11,-0.0006251466212567503,3.350661648296111e-05,-0.6251466212567502,1461
12,-0.0006054711977209825,3.426909146259192e-05,-0.6054711977209825,1461
13,-0.000602322471770372,3.6320277004687124e-05,-0.602322471770372,1461
14,-0.0006500071046093673,3.800506778334218e-05,-0.6500071046093673,1461
15,-0.0006374747311014418,3.974366126892077e-05,-0.6374747311014418,1461
16,-0.0005324562413806495,4.1539871577971176e-05,-0.5324562413806495,1461
17,-0.00011983927235468926,4.916532258862336e-05,-0.11983927235468926,1461
