hour,b_ghi_x_pv,se,mw_per_mw_at_ref,n
7,-0.00041230079638453123,5.245891460449114e-05,-0.4123007963845312,2557
8,-0.0004663248712618845,2.5519259213746765e-05,-0.4663248712618845,2557
9,-0.0005421735394596569,1.7331191593356327e-05,-0.542173539459657,2557
10,-0.000585448334897955,1.3805887206002628e-05,-0.585448334897955,2557
11,-0.0006039121067726067,1.2613589944503784e-05,-0.6039121067726066,2557
12,-0.0006134489157069307,1.2163583448258963e-05,-0.6134489157069307,2557
13,-0.0006541249018594448,1.267493222189064e-05,-0.6541249018594448,2557
14,-0.0006875241519061311,1.3477639721766793e-05,-0.6875241519061311,2556
15,-0.0006972360925502412,1.4732583456480254e-05,-0.6972360925502412,2556
16,-0.0006744872693827569,1.6841070992622724e-05,-0.6744872693827568,2556
17,-0.0005982981530714465,1.9907028597362228e-05,-0.5982981530714465,2556
