year,pv_mw_installed,wedge_mwh_per_mw_per_day,island_induced_gwh_per_year
2010,52.35744295598774,1.1164046903211444,21.335014634589562
2011,104.87710480955944,1.1164046903211444,42.73613147659346
2012,216.4324039312648,1.1164046903211444,88.19354507351575
2013,290.65877886169574,1.1164046903211444,118.4398807615379
2014,334.44821181042107,1.1164046903211444,136.2835366021559
2015,394.1190330731077,1.1164046903211444,160.59866302969286
2016,440.9434602665729,1.1164046903211444,179.67904173093356
2017,476.17544407513446,1.1164046903211444,194.03564220115038
2018,505.00698131243314,1.1164046903211444,205.78413934247484
2019,551.8121409972829,1.1164046903211444,224.8566667707145
2020,595.7900220665346,1.1164046903211444,242.77711290479033
2021,640.224797948873,1.1164046903211444,260.8837380608605
2022,668.3721956006927,1.1164046903211444,272.353456727832
2023,721.7226507093242,1.1164046903211444,294.09311161245796
2024,765.3377630241907,1.1164046903211444,311.8657339368362
