year,pv_mw,batt_mwh,lowsun_excess_mw,n_low
2013,216.43630798111036,16.663103751865556,-1.1781489199796096,73
2014,290.6632376194156,23.736753852294267,-0.42402558924616746,73
2015,334.44821181042107,27.535211770809553,-5.875752479676252,73
2016,394.1190330731077,31.77436588119026,-3.803056640888708,74
2017,440.9434602665729,34.93559662691709,-2.7173763057796867,73
2018,476.17544407513446,42.39600096745269,3.220733127297806,73
2019,505.00698131243314,49.104022618002965,-1.9646247341640948,73
2020,551.8121409972829,58.673009855298886,0.21247063064238103,74
2021,595.7900220665346,68.79194887407346,-0.02779679013984568,73
2022,640.224797948873,96.5258521416388,-4.213021493035899,73
2023,668.3770486794448,136.6149912455563,0.7971505325000999,73
2024,721.7275081764409,182.71841345735368,-1.5427521461425875,74
