year,uniform_ghi,weighted_ghi,ratio,installed_mw,implied_distpv_cf,cf_delta_pct
2013,727.132914764079,697.4919898884987,0.959235891714244,290.65877886169596,0.17477277947033526,-4.0764108285756055
2014,735.1697021585721,714.4368024137258,0.9717984845077655,334.44821181042033,0.17706168387731488,-2.8201515492234486
2015,730.9961169918362,707.2969654977284,0.9675796479034204,394.11903307310604,0.1762930118480032,-3.2420352096579563
2016,736.0737411685158,704.6315791522419,0.9572839509715977,440.9434602665708,0.1744171358670251,-4.271604902840231
2017,745.0516898436418,711.9961022467437,0.9556331620376094,476.17544407513014,0.17411636212325243,-4.436683796239061
2018,702.8506849315069,680.0486355121842,0.9675577616865455,505.00698131242916,0.1762890241792886,-3.2442238313454497
2019,760.4514425072645,734.7948908563876,0.9662614202344264,551.8121409972798,0.1760528307667125,-3.3738579765573595
2020,755.3283638985482,741.0054642361468,0.9810375191148983,595.7900220665305,0.17874503598273447,-1.8962480885101662
2021,772.5309464508094,779.1990423783496,1.0086314936096412,640.224797948868,0.18377265813567664,0.8631493609641216
2022,787.3387366818874,790.9713879845107,1.0046138353587586,668.3721956006868,0.18304064080236582,0.4613835358758589
2023,742.8447938286979,734.9614368311436,0.9893876122400714,721.72265070932,0.180266422950141,-1.0612387759928565
2024,743.6582198349616,736.7062227578684,0.990651623431748,765.3377630241858,0.18049672578926448,-0.9348376568252048
