GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_Airport_DSG,2013,732926.0302746205,.,10426.01601717804
Oahu_Battery_Bulk,2021,418524.32252042956,480696.41390933405,26100.019456672297
Oahu_Battery_Bulk,2022,530854.5235338106,571688.7282954094,55031.4343108486
Oahu_Battery_Bulk,2023,525410.2008584721,565825.6193480183,54467.04449708098
Oahu_Battery_Bulk,2024,507245.1795546918,520249.6591588899,50551.63703496585
Oahu_Battery_Bulk,2025,455327.68504121,453234.5345329465,44302.06685884758
Oahu_Battery_Bulk,2027,458363.51098431443,415786.32964082103,41435.719327101535
Oahu_Battery_Bulk,2030,464138.0770438473,359296.954528008,37135.27138976327
Oahu_Battery_Bulk,2035,448134.8334344357,326644.5898188585,34271.742045114646
Oahu_Battery_Bulk,2040,431441.8953670074,294171.34947460535,31408.73619659041
Oahu_Battery_Bulk,2045,413900.1131420471,261918.5671445448,28546.374642973165
Oahu_Battery_Bulk,2050,395297.2909732701,229941.35337075827,25684.81844641217
Oahu_Battery_Conting,2027,666256.6758047249,0.0,41435.719327101535
Oahu_Battery_Conting,2030,643786.5543078514,0.0,37135.27138976327
Oahu_Battery_Conting,2035,611457.128343865,0.0,34271.742045114646
Oahu_Battery_Conting,2040,578527.57010431,0.0,31408.73619659041
Oahu_Battery_Conting,2045,544859.3967143195,0.0,28546.374642973165
Oahu_Battery_Conting,2050,510267.9676586492,0.0,25684.81844641217
Oahu_Battery_Reg,2027,874149.8406251357,0.0,41435.719327101535
Oahu_Battery_Reg,2030,823435.0315718554,0.0,37135.27138976327
Oahu_Battery_Reg,2035,774779.4232532942,0.0,34271.742045114646
Oahu_Battery_Reg,2040,725613.2448416126,0.0,31408.73619659041
Oahu_Battery_Reg,2045,675818.6802865918,0.0,28546.374642973165
Oahu_Battery_Reg,2050,625238.6443440283,0.0,25684.81844641217
Oahu_CIP_CT,2009,732926.0302746205,.,18576.205154990632
Oahu_CentralTrackingPV_Constrained_C_PV_01,2017,5488635.566553291,.,30108.18885448689
Oahu_CentralTrackingPV_Constrained_C_PV_01,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_01,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_01,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_01,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_01,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_01,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_02,2017,5488635.566553291,.,30108.188854486893
Oahu_CentralTrackingPV_Constrained_C_PV_02,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_02,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_02,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_02,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_02,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_02,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_03,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_03,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_03,2035,1677547.8116505488,.,17162.107497471032
Oahu_CentralTrackingPV_Constrained_C_PV_03,2040,1544875.589075238,.,16294.92489130962
Oahu_CentralTrackingPV_Constrained_C_PV_03,2045,1412203.3664999274,.,15435.258056686942
Oahu_CentralTrackingPV_Constrained_C_PV_03,2050,1279531.1439246172,.,14582.528857330793
Oahu_CentralTrackingPV_Constrained_C_PV_04,2012,7623183.65147442,.,30108.18885448689
Oahu_CentralTrackingPV_Constrained_C_PV_04,2014,5999945.692460451,.,30108.188854486893
Oahu_CentralTrackingPV_Constrained_C_PV_04,2020,2975710.921217797,.,21249.7952300036
Oahu_CentralTrackingPV_Constrained_C_PV_04,2024,2906592.95728408,.,24687.928613231965
Oahu_CentralTrackingPV_Constrained_C_PV_04,2027,2571398.8266567527,.,22611.4859811663
Oahu_CentralTrackingPV_Constrained_C_PV_04,2030,2236204.6960294256,.,20554.164710476856
Oahu_CentralTrackingPV_Constrained_C_PV_04,2035,1677547.8116505488,.,17162.107497471032
