GENERATION_PROJECT,gen_load_zone,gen_tech,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_unit_size,gen_min_build_capacity,gen_max_age,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_variable_om,gen_energy_source,gen_full_load_heat_rate,gen_min_uptime,gen_min_downtime,gen_startup_fuel,gen_storage_efficiency,gen_storage_energy_to_power_ratio,gen_storage_max_cycles_per_year
Oahu_Airport_DSG,Oahu,Airport_DSG,0.0,8.0,8.0,.,61,0.0,0,0,0,0,21.95102956182561,multiple,.,1.0,1.0,0.125,.,.,.
Oahu_Battery_Bulk,Oahu,Battery_Bulk,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,.,365.0
Oahu_Battery_Conting,Oahu,Battery_Conting,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,0.0,.
Oahu_Battery_Reg,Oahu,Battery_Reg,0.0,3000.0,.,.,15,0.0,0,0,0,0,0.0,Battery,.,.,.,.,0.9,0.0,.
Oahu_CIP_CT,Oahu,CIP_CT,0.0,113.0,113.0,.,61,0.0,0,0,0,0,5.476222328927873,multiple,.,1.0,1.0,1.1150442477876106,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,Oahu,CentralTrackingPV_Reference_wSlope_Flat,34716.943346214684,313.2860315244433,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,Oahu,CentralTrackingPV_Reference_wSlope_Flat,29362.52749485893,248.87135028833958,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,Oahu,CentralTrackingPV_Reference_wSlope_Flat,24526.89823062264,68.96684211256363,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,Oahu,CentralTrackingPV_Reference_wSlope_Flat,17474.594219292965,70.72068742113706,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,Oahu,CentralTrackingPV_Reference_wSlope_Flat,11161.513958720278,47.017059155732625,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_06,Oahu,CentralTrackingPV_Reference_wSlope_Flat,817.2375814892333,5.861998375177527,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_07,Oahu,CentralTrackingPV_Reference_wSlope_Flat,11686.372055459387,276.11744480903894,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_08,Oahu,CentralTrackingPV_Reference_wSlope_Flat,19439.949264071274,318.14485094907013,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_09,Oahu,CentralTrackingPV_Reference_wSlope_Flat,39292.83318960413,275.15144967923675,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_10,Oahu,CentralTrackingPV_Reference_wSlope_Flat,27604.15733326875,338.98128862727316,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_11,Oahu,CentralTrackingPV_Reference_wSlope_Flat,35091.50244492519,186.1846897884224,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_12,Oahu,CentralTrackingPV_Reference_wSlope_Flat,39833.61626782135,118.9788049550966,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_13,Oahu,CentralTrackingPV_Reference_wSlope_Flat,38856.08137818757,248.9891744362739,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_14,Oahu,CentralTrackingPV_Reference_wSlope_Flat,27460.57195767003,41.50768935704766,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_15,Oahu,CentralTrackingPV_Reference_wSlope_Flat,14313.686030144687,218.65097498673487,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_16,Oahu,CentralTrackingPV_Reference_wSlope_Flat,21705.431639733746,153.5917858408771,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_17,Oahu,CentralTrackingPV_Reference_wSlope_Flat,27309.130806069363,10.148052980855578,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_18,Oahu,CentralTrackingPV_Reference_wSlope_Flat,16899.251863548077,0.27732943153101813,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_01,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,33516.44514344589,85.59714900548474,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_02,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,29152.389980653188,24.441058820408397,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_03,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,24216.063869661382,75.27373833910241,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_04,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,18958.175917126177,29.918449020494432,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_05,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,12020.108129815713,1.0999202600807885,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_06,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,1350.6879062105343,1.4305857967325453,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_07,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,10779.734620974557,41.089412341412526,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_08,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,19772.457956872466,126.6261357528587,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_09,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,35848.93935657064,72.06201386195545,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_10,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,27902.983668734305,62.174166022070786,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_11,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,34399.05769930899,28.81048675729208,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_12,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,39752.53326471536,52.51334091977275,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_13,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,37487.71593044073,67.14062954523945,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_14,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,29204.492259068327,9.285526936118384,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_15,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,16378.401373201343,64.5655582719001,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_16,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,20538.893081299895,53.39838888860292,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_17,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,27928.122505462965,2.99474692093386,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_18,Oahu,CentralTrackingPV_Reference_wSlope_Moderate,16912.00679436408,1.0412017253971575,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_01,Oahu,CentralTrackingPV_Reference_wSlope_Steep,34549.85694534747,139.45109728276861,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_02,Oahu,CentralTrackingPV_Reference_wSlope_Steep,28411.179216530018,37.31043982164728,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_03,Oahu,CentralTrackingPV_Reference_wSlope_Steep,23955.073605659585,181.31807710812475,.,.,30,0.0,0,1,0,0,0.0,SUN,.,.,.,.,.,.,.
