scenario,period,cost_real_musd_yr,demand_gwh_yr,cost_per_mwh
nlv2a_C1_LSFO250_refbrent,2027,1455.48,6691.9,217.5
nlv2a_C1_LSFO250_refbrent,2030,1410.94,6424.2,219.63
nlv2a_C1_LSFO250_refbrent,2035,1354.4,5978.5,226.55
nlv2a_C1_LSFO250_refbrent,2040,1313.26,5662.6,231.92
nlv2a_C1_LSFO250_refbrent,2045,1155.36,5421.3,213.12
nlv2a_C1_LSFO250_refbrent,2050,988.27,5297.7,186.55
nlv2a_C4_NOTHERMAL_refbrent,2027,1452.57,6691.9,217.07
nlv2a_C4_NOTHERMAL_refbrent,2030,1422.94,6424.2,221.5
nlv2a_C4_NOTHERMAL_refbrent,2035,1305.31,5978.5,218.33
nlv2a_C4_NOTHERMAL_refbrent,2040,1277.1,5662.6,225.53
nlv2a_C4_NOTHERMAL_refbrent,2045,1104.37,5421.3,203.71
nlv2a_C4_NOTHERMAL_refbrent,2050,937.6,5297.7,176.98
nlv2a_C5_LNG375_highbrent,2027,1529.4,6691.9,228.55
nlv2a_C5_LNG375_highbrent,2030,1538.31,6424.2,239.45
nlv2a_C5_LNG375_highbrent,2035,1527.1,5978.5,255.43
nlv2a_C5_LNG375_highbrent,2040,1486.02,5662.6,262.43
nlv2a_C5_LNG375_highbrent,2045,1112.06,5421.3,205.13
nlv2a_C5_LNG375_highbrent,2050,944.69,5297.7,178.32
nlv2a_C5_LNG375_lowbrent,2027,1215.56,6691.9,181.65
nlv2a_C5_LNG375_lowbrent,2030,1116.78,6424.2,173.84
nlv2a_C5_LNG375_lowbrent,2035,1071.18,5978.5,179.17
nlv2a_C5_LNG375_lowbrent,2040,1208.51,5662.6,213.42
nlv2a_C5_LNG375_lowbrent,2045,1096.56,5421.3,202.27
nlv2a_C5_LNG375_lowbrent,2050,926.54,5297.7,174.89
nlv2a_C5_LNG375_refbrent,2027,1474.28,6691.9,220.31
nlv2a_C5_LNG375_refbrent,2030,1384.76,6424.2,215.55
nlv2a_C5_LNG375_refbrent,2035,1379.51,5978.5,230.75
nlv2a_C5_LNG375_refbrent,2040,1371.98,5662.6,242.29
nlv2a_C5_LNG375_refbrent,2045,1104.31,5421.3,203.7
nlv2a_C5_LNG375_refbrent,2050,936.73,5297.7,176.82
nlv2a_be_pv15_C4_NOTHERMAL_refbrent,2027,1533.37,6691.9,229.14
