scenario,period,tech,energy_gwh,capacity_mw,emissions_tco2
nlv2a_C1_LSFO250_refbrent,2027,Battery storage,-60.69,405.1,0.0
nlv2a_C1_LSFO250_refbrent,2027,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C1_LSFO250_refbrent,2027,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C1_LSFO250_refbrent,2027,Offshore wind,0.0,0.0,0.0
nlv2a_C1_LSFO250_refbrent,2027,Onshore wind,281.12,150.0,0.0
nlv2a_C1_LSFO250_refbrent,2027,Oil,3514.34,1361.7,2551709.0
nlv2a_C1_LSFO250_refbrent,2027,Utility solar,1866.93,747.6,0.0
nlv2a_C1_LSFO250_refbrent,2027,Waste-to-energy,374.93,86.0,0.0
nlv2a_C1_LSFO250_refbrent,2030,Battery storage,-68.21,412.7,0.0
nlv2a_C1_LSFO250_refbrent,2030,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C1_LSFO250_refbrent,2030,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C1_LSFO250_refbrent,2030,Offshore wind,0.0,0.0,0.0
nlv2a_C1_LSFO250_refbrent,2030,Onshore wind,279.5,150.0,0.0
nlv2a_C1_LSFO250_refbrent,2030,Oil,3351.86,1456.1,2094789.0
nlv2a_C1_LSFO250_refbrent,2030,Utility solar,1840.86,747.6,0.0
nlv2a_C1_LSFO250_refbrent,2030,Waste-to-energy,374.93,86.0,0.0
nlv2a_C1_LSFO250_refbrent,2035,Battery storage,-215.18,887.9,0.0
nlv2a_C1_LSFO250_refbrent,2035,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C1_LSFO250_refbrent,2035,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C1_LSFO250_refbrent,2035,Offshore wind,0.0,0.0,0.0
nlv2a_C1_LSFO250_refbrent,2035,Onshore wind,275.8,150.0,0.0
nlv2a_C1_LSFO250_refbrent,2035,Oil,1586.49,1300.1,943914.0
nlv2a_C1_LSFO250_refbrent,2035,Utility solar,3507.1,1474.0,0.0
nlv2a_C1_LSFO250_refbrent,2035,Waste-to-energy,374.93,86.0,0.0
nlv2a_C1_LSFO250_refbrent,2040,Battery storage,-225.41,748.2,0.0
nlv2a_C1_LSFO250_refbrent,2040,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C1_LSFO250_refbrent,2040,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C1_LSFO250_refbrent,2040,Offshore wind,0.0,0.0,0.0
nlv2a_C1_LSFO250_refbrent,2040,Onshore wind,261.45,150.0,0.0
nlv2a_C1_LSFO250_refbrent,2040,Oil,1932.97,1130.8,1144190.0
nlv2a_C1_LSFO250_refbrent,2040,Utility solar,3188.26,1474.0,0.0
nlv2a_C1_LSFO250_refbrent,2040,Waste-to-energy,374.93,86.0,0.0
nlv2a_C1_LSFO250_refbrent,2045,Battery storage,-327.4,1148.4,0.0
nlv2a_C1_LSFO250_refbrent,2045,Distributed solar (modeled),0.0,391.0,0.0
nlv2a_C1_LSFO250_refbrent,2045,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C1_LSFO250_refbrent,2045,Offshore wind,0.0,0.0,0.0
nlv2a_C1_LSFO250_refbrent,2045,Onshore wind,439.84,150.0,0.0
nlv2a_C1_LSFO250_refbrent,2045,Oil,235.89,1098.0,0.0
nlv2a_C1_LSFO250_refbrent,2045,Utility solar,5325.0,2634.6,0.0
nlv2a_C1_LSFO250_refbrent,2045,Waste-to-energy,374.93,86.0,0.0
nlv2a_C1_LSFO250_refbrent,2050,Battery storage,-344.58,1223.5,0.0
nlv2a_C1_LSFO250_refbrent,2050,Distributed solar (modeled),0.0,0.0,0.0
nlv2a_C1_LSFO250_refbrent,2050,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C1_LSFO250_refbrent,2050,Offshore wind,0.0,0.0,0.0
nlv2a_C1_LSFO250_refbrent,2050,Onshore wind,479.32,150.0,0.0
nlv2a_C1_LSFO250_refbrent,2050,Oil,209.42,792.4,0.0
nlv2a_C1_LSFO250_refbrent,2050,Utility solar,5802.33,2840.8,0.0
nlv2a_C1_LSFO250_refbrent,2050,Waste-to-energy,374.93,86.0,0.0
nlv2a_C1_LSFO250_refbrent,2027,Distributed solar (netted),1277.11,800.2,0
nlv2a_C1_LSFO250_refbrent,2030,Distributed solar (netted),1556.11,975.0,0
nlv2a_C1_LSFO250_refbrent,2035,Distributed solar (netted),1944.27,1218.2,0
nlv2a_C1_LSFO250_refbrent,2040,Distributed solar (netted),2283.92,1431.0,0
nlv2a_C1_LSFO250_refbrent,2045,Distributed solar (netted),2581.1,1617.2,0
nlv2a_C1_LSFO250_refbrent,2050,Distributed solar (netted),2829.77,1773.0,0
nlv2a_C4_NOTHERMAL_refbrent,2027,Battery storage,-58.46,388.9,0.0
nlv2a_C4_NOTHERMAL_refbrent,2027,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2027,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2027,Offshore wind,0.0,0.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2027,Onshore wind,283.25,150.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2027,Oil,3468.29,1361.7,2525755.0
nlv2a_C4_NOTHERMAL_refbrent,2027,Utility solar,1908.61,769.6,0.0
nlv2a_C4_NOTHERMAL_refbrent,2027,Waste-to-energy,374.93,86.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2030,Battery storage,-63.21,411.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2030,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2030,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2030,Offshore wind,0.0,0.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2030,Onshore wind,284.27,150.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2030,Oil,3296.2,1206.1,2391869.0
nlv2a_C4_NOTHERMAL_refbrent,2030,Utility solar,1886.75,769.6,0.0
nlv2a_C4_NOTHERMAL_refbrent,2030,Waste-to-energy,374.93,86.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2035,Battery storage,-248.06,983.1,0.0
nlv2a_C4_NOTHERMAL_refbrent,2035,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2035,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2035,Offshore wind,0.0,0.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2035,Onshore wind,264.61,150.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2035,Oil,1253.06,1050.1,794928.0
nlv2a_C4_NOTHERMAL_refbrent,2035,Utility solar,3884.6,1751.8,0.0
nlv2a_C4_NOTHERMAL_refbrent,2035,Waste-to-energy,374.93,86.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2040,Battery storage,-227.41,853.6,0.0
nlv2a_C4_NOTHERMAL_refbrent,2040,Distributed solar (modeled),0.0,674.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2040,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2040,Offshore wind,0.0,0.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2040,Onshore wind,265.2,150.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2040,Oil,1510.57,880.8,984379.0
nlv2a_C4_NOTHERMAL_refbrent,2040,Utility solar,3811.69,1751.8,0.0
nlv2a_C4_NOTHERMAL_refbrent,2040,Waste-to-energy,374.93,86.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2045,Battery storage,-331.39,1143.5,0.0
nlv2a_C4_NOTHERMAL_refbrent,2045,Distributed solar (modeled),0.0,391.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2045,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2045,Offshore wind,0.0,0.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2045,Onshore wind,443.24,150.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2045,Oil,158.74,848.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2045,Utility solar,5547.34,2673.9,0.0
nlv2a_C4_NOTHERMAL_refbrent,2045,Waste-to-energy,374.93,86.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2050,Battery storage,-350.9,1205.5,0.0
nlv2a_C4_NOTHERMAL_refbrent,2050,Distributed solar (modeled),0.0,0.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2050,Geothermal (EGS),815.56,100.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2050,Offshore wind,0.0,0.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2050,Onshore wind,469.69,150.0,0.0
nlv2a_C4_NOTHERMAL_refbrent,2050,Oil,89.58,542.4,0.0
nlv2a_C4_NOTHERMAL_refbrent,2050,Utility solar,6116.95,3009.8,0.0
