regional_fuel_market,fuel,tier,period,unit_cost,max_avail_at_cost,fixed_cost,max_age
Hawaii_Biodiesel,Biodiesel,base,2027,32.985575,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2030,34.059716,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2035,36.091515,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2040,38.105797,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2045,40.428840,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2050,43.630954,.,0.000000,.
Hawaii_Coal,Coal,base,2027,4.851169,.,0.000000,.
Hawaii_Coal,Coal,base,2030,5.794434,.,0.000000,.
Hawaii_Coal,Coal,base,2035,6.459853,.,0.000000,.
Hawaii_Coal,Coal,base,2040,6.550441,.,0.000000,.
Hawaii_Coal,Coal,base,2045,6.893771,.,0.000000,.
Hawaii_Coal,Coal,base,2050,6.391876,.,0.000000,.
Hawaii_Diesel,Diesel,base,2027,19.507667,.,0.000000,.
Hawaii_Diesel,Diesel,base,2030,21.500000,.,0.000000,.
Hawaii_Diesel,Diesel,base,2035,25.138489,.,0.000000,.
Hawaii_Diesel,Diesel,base,2040,28.839996,.,0.000000,.
Hawaii_Diesel,Diesel,base,2045,33.026853,.,0.000000,.
Hawaii_Diesel,Diesel,base,2050,38.570552,.,0.000000,.
Hawaii_LNG,LNG,bulk_05,2027,10.025444,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2030,11.017631,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2035,12.888870,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2040,14.803236,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2045,17.049779,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2050,20.224943,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_10,2027,10.025444,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2030,11.017631,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2035,12.888870,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2040,14.803236,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2045,17.049779,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2050,20.224943,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_15,2027,10.025444,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2030,11.017631,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2035,12.888870,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2040,14.803236,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2045,17.049779,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2050,20.224943,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_20,2027,10.025444,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2030,11.017631,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2035,12.888870,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2040,14.803236,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2045,17.049779,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2050,20.224943,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_25,2027,10.025444,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2030,11.017631,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2035,12.888870,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2040,14.803236,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2045,17.049779,36400000.0,1.190402,25.0000000000000000
