GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011206,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011208,0.47388282
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011210,0.8348231
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011212,0.7990056
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011214,0.8021603
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011216,0.6915468
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011218,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011222,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011900,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011902,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011904,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011906,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011908,0.51153845
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011910,0.56689453
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011912,0.6397494
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011914,0.47455212
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011916,0.15965451
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011918,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011920,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707011922,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021206,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021208,0.6408217
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021210,0.957341
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021212,0.93225086
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021214,0.9392849
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021216,0.76339644
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021218,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707021222,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050206,0.052643318
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050208,0.9117976
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050210,1.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050212,0.9892055
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050214,0.58714473
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050216,0.9160973
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050218,0.07164854
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707050222,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092200,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092202,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092204,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092206,0.002913101
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092208,0.87719244
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092210,0.9894676
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092212,0.8673267
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092214,0.9056128
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092216,0.87022346
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092218,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092220,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707092222,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707102700,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707102702,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707102704,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707102706,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2707102708,0.8110006
