LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,2707011200,653.200019
Oahu,2707011202,595.494423
Oahu,2707011204,660.525968
Oahu,2707011206,928.466493
Oahu,2707011208,834.769822
Oahu,2707011210,721.894954
Oahu,2707011212,663.031709
Oahu,2707011214,696.251142
Oahu,2707011216,844.192595
Oahu,2707011218,1067.564864
Oahu,2707011220,962.342247
Oahu,2707011222,791.942439
Oahu,2707011900,613.072300
Oahu,2707011902,556.664694
Oahu,2707011904,630.936175
Oahu,2707011906,898.601701
Oahu,2707011908,791.364126
Oahu,2707011910,668.193330
Oahu,2707011912,623.970982
Oahu,2707011914,667.772341
Oahu,2707011916,820.520760
Oahu,2707011918,1047.325006
Oahu,2707011920,947.855348
Oahu,2707011922,777.158543
Oahu,2707021200,545.389773
Oahu,2707021202,502.380074
Oahu,2707021204,586.980482
Oahu,2707021206,853.579016
Oahu,2707021208,743.030464
Oahu,2707021210,621.509657
Oahu,2707021212,580.477286
Oahu,2707021214,632.209590
Oahu,2707021216,806.000862
Oahu,2707021218,1066.574871
Oahu,2707021220,955.885292
Oahu,2707021222,730.540869
Oahu,2707050200,627.735197
Oahu,2707050202,578.840539
Oahu,2707050204,636.667134
Oahu,2707050206,905.960650
Oahu,2707050208,823.417901
Oahu,2707050210,705.692068
Oahu,2707050212,665.176694
Oahu,2707050214,715.072010
Oahu,2707050216,872.880394
Oahu,2707050218,1058.280929
Oahu,2707050220,1001.908970
Oahu,2707050222,781.844510
Oahu,2707092200,711.631610
Oahu,2707092202,647.700057
Oahu,2707092204,665.497933
Oahu,2707092206,802.209376
Oahu,2707092208,817.851940
Oahu,2707092210,719.419972
Oahu,2707092212,659.236735
Oahu,2707092214,699.562119
Oahu,2707092216,866.357439
Oahu,2707092218,1061.404907
Oahu,2707092220,975.520155
Oahu,2707092222,841.816090
Oahu,2707102700,699.234697
Oahu,2707102702,635.226145
Oahu,2707102704,658.600981
Oahu,2707102706,793.244439
Oahu,2707102708,816.322951
Oahu,2707102710,709.553041
Oahu,2707102712,647.235819
Oahu,2707102714,660.116395
Oahu,2707102716,822.126749
Oahu,2707102718,1042.650038
Oahu,2707102720,961.242255
Oahu,2707102722,823.061221
Oahu,2707121500,662.285955
Oahu,2707121502,590.874455
Oahu,2707121504,617.670267
Oahu,2707121506,749.211747
Oahu,2707121508,745.780445
Oahu,2707121510,628.340609
Oahu,2707121512,553.549475
Oahu,2707121514,567.398043
Oahu,2707121516,764.014156
Oahu,2707121518,1003.149315
Oahu,2707121520,926.086501
Oahu,2707121522,782.713504
Oahu,2708022000,606.311235
Oahu,2708022002,552.023913
Oahu,2708022004,628.519685
Oahu,2708022006,887.760558
Oahu,2708022008,802.917665
Oahu,2708022010,694.767167
Oahu,2708022012,655.040847
Oahu,2708022014,708.349625
Oahu,2708022016,879.232154
Oahu,2708022018,1099.201923
Oahu,2708022020,981.724488
Oahu,2708022022,746.193824
Oahu,2708041000,581.018278
Oahu,2708041002,540.885416
Oahu,2708041004,634.540185
Oahu,2708041006,897.185440
Oahu,2708041008,806.504833
Oahu,2708041010,685.525070
Oahu,2708041012,613.228642
Oahu,2708041014,684.233351
Oahu,2708041016,857.137945
Oahu,2708041018,1093.421329
Oahu,2708041020,1005.749369
Oahu,2708041022,768.150943
Oahu,2708061700,679.973830
Oahu,2708061702,621.322502
Oahu,2708061704,688.142061
Oahu,2708061706,908.792325
Oahu,2708061708,869.337381
Oahu,2708061710,762.295020
Oahu,2708061712,719.724100
Oahu,2708061714,761.323175
Oahu,2708061716,917.160165
Oahu,2708061718,1070.813035
Oahu,2708061720,1046.761887
Oahu,2708061722,821.124494
Oahu,2708081800,679.174143
