GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_Airport_DSG,2013,676626.207886,.,9625.140041
Oahu_Battery_Bulk,2021,386375.314230,443771.647141,24095.142567
Oahu_Battery_Bulk,2022,474883.327944,511412.136104,49229.138132
Oahu_Battery_Bulk,2023,466877.773564,502790.781288,48399.236303
Oahu_Battery_Bulk,2024,393737.755804,403832.193013,39239.580622
Oahu_Battery_Bulk,2025,309158.751373,307737.542387,30080.252362
Oahu_Battery_Bulk,2027,305702.248872,277305.703826,27635.255160
Oahu_Battery_Bulk,2030,299567.839731,231900.414583,23968.154259
Oahu_Battery_Bulk,2035,299392.800023,218226.817158,22896.485716
Oahu_Battery_Bulk,2040,283202.967517,193097.147088,20617.022576
Oahu_Battery_Bulk,2045,265894.853254,168259.917705,18338.564923
Oahu_Battery_Bulk,2050,247170.199888,143776.978930,16060.119446
Oahu_Battery_Conting,2027,615078.069828,0.000000,38252.828364
Oahu_Battery_Conting,2030,594333.994067,0.000000,34282.719976
Oahu_Battery_Conting,2035,564487.957783,0.000000,31639.153066
Oahu_Battery_Conting,2040,534087.888474,0.000000,28996.069439
Oahu_Battery_Conting,2045,503005.940847,0.000000,26353.580615
Oahu_Battery_Conting,2050,471071.657576,0.000000,23711.835285
Oahu_Battery_Reg,2027,807001.890169,0.000000,38252.828364
Oahu_Battery_Reg,2030,760182.746742,0.000000,34282.719976
Oahu_Battery_Reg,2035,715264.626237,0.000000,31639.153066
Oahu_Battery_Reg,2040,669875.155157,0.000000,28996.069439
Oahu_Battery_Reg,2045,623905.567509,0.000000,26353.580615
Oahu_Battery_Reg,2050,577210.844575,0.000000,23711.835285
Oahu_CIP_CT,2009,676626.207886,.,17149.271184
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2027,2471043.793237,.,30066.836581
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2030,2030585.019255,.,26324.163218
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2035,1296487.062617,.,20193.554590
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2040,1220339.253271,.,19456.501008
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2045,1144191.443925,.,18727.683738
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2050,1068043.634580,.,18006.514473
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,2027,2471043.793237,.,30066.836581
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,2030,2030585.019255,.,26324.163218
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,2035,1296487.062617,.,20193.554590
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,2040,1220339.253271,.,19456.501008
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,2045,1144191.443925,.,18727.683738
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,2050,1068043.634580,.,18006.514473
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,2027,2471043.793237,.,30066.836581
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,2030,2030585.019255,.,26324.163218
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,2035,1296487.062617,.,20193.554590
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,2040,1220339.253271,.,19456.501008
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,2045,1144191.443925,.,18727.683738
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,2050,1068043.634580,.,18006.514473
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,2027,2471043.793237,.,30066.836581
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,2030,2030585.019255,.,26324.163218
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,2035,1296487.062617,.,20193.554590
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,2040,1220339.253271,.,19456.501008
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,2045,1144191.443925,.,18727.683738
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,2050,1068043.634580,.,18006.514473
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,2027,2471043.793237,.,30066.836581
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,2030,2030585.019255,.,26324.163218
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,2035,1296487.062617,.,20193.554590
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,2040,1220339.253271,.,19456.501008
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,2045,1144191.443925,.,18727.683738
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,2050,1068043.634580,.,18006.514473
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_06,2027,2471043.793237,.,30066.836581
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_06,2030,2030585.019255,.,26324.163218
