regional_fuel_market,fuel,tier,period,unit_cost,max_avail_at_cost,fixed_cost,max_age
Hawaii_Biodiesel,Biodiesel,base,2027,30.488278,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2030,29.554082,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2035,29.255377,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2040,29.442088,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2045,29.751201,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2050,30.427965,.,0.000000,.
Hawaii_Coal,Coal,base,2027,4.851169,.,0.000000,.
Hawaii_Coal,Coal,base,2030,5.794434,.,0.000000,.
Hawaii_Coal,Coal,base,2035,6.459853,.,0.000000,.
Hawaii_Coal,Coal,base,2040,6.550441,.,0.000000,.
Hawaii_Coal,Coal,base,2045,6.893771,.,0.000000,.
Hawaii_Coal,Coal,base,2050,6.391876,.,0.000000,.
Hawaii_Diesel,Diesel,base,2027,14.584662,.,0.000000,.
Hawaii_Diesel,Diesel,base,2030,12.593029,.,0.000000,.
Hawaii_Diesel,Diesel,base,2035,11.504930,.,0.000000,.
Hawaii_Diesel,Diesel,base,2040,11.431578,.,0.000000,.
Hawaii_Diesel,Diesel,base,2045,11.320675,.,0.000000,.
Hawaii_Diesel,Diesel,base,2050,11.113603,.,0.000000,.
Hawaii_LNG,LNG,bulk_05,2027,7.361555,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2030,6.293747,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2035,5.729341,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2040,5.710031,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2045,5.678894,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2050,5.613534,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_10,2027,7.361555,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2030,6.293747,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2035,5.729341,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2040,5.710031,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2045,5.678894,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2050,5.613534,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_15,2027,7.361555,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2030,6.293747,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2035,5.729341,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2040,5.710031,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2045,5.678894,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2050,5.613534,36400000.0,1.566818,15.0000000000000000
Hawaii_LNG,LNG,bulk_20,2027,7.361555,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2030,6.293747,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2035,5.729341,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2040,5.710031,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2045,5.678894,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2050,5.613534,36400000.0,1.326716,20.0000000000000000
Hawaii_LNG,LNG,bulk_25,2027,7.361555,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2030,6.293747,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2035,5.729341,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2040,5.710031,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2045,5.678894,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2050,5.613534,36400000.0,1.190402,25.0000000000000000
Hawaii_LNG,LNG,container_05,2027,8.217039,24752000.0,5.312558,5.0000000000000000
Hawaii_LNG,LNG,container_05,2030,8.527185,24752000.0,5.312558,5.0000000000000000
Hawaii_LNG,LNG,container_05,2035,8.703640,24752000.0,5.312558,5.0000000000000000
Hawaii_LNG,LNG,container_05,2040,8.565103,24752000.0,5.312558,5.0000000000000000
Hawaii_LNG,LNG,container_05,2045,8.649040,24752000.0,5.312558,5.0000000000000000
Hawaii_LNG,LNG,container_05,2050,6.920224,24752000.0,5.312558,5.0000000000000000
Hawaii_LNG,LNG,container_10,2027,8.217039,24752000.0,3.040512,10.0000000000000000
Hawaii_LNG,LNG,container_10,2030,8.527185,24752000.0,3.040512,10.0000000000000000
Hawaii_LNG,LNG,container_10,2035,8.703640,24752000.0,3.040512,10.0000000000000000
Hawaii_LNG,LNG,container_10,2040,8.565103,24752000.0,3.040512,10.0000000000000000
Hawaii_LNG,LNG,container_10,2045,8.649040,24752000.0,3.040512,10.0000000000000000
Hawaii_LNG,LNG,container_10,2050,6.920224,24752000.0,3.040512,10.0000000000000000
Hawaii_LNG,LNG,container_15,2027,8.217039,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_15,2030,8.527185,24752000.0,2.304145,15.0000000000000000
Hawaii_LNG,LNG,container_15,2035,8.703640,24752000.0,2.304145,15.0000000000000000
