regional_fuel_market,fuel,tier,period,unit_cost,max_avail_at_cost,fixed_cost,max_age
Hawaii_Biodiesel,Biodiesel,base,2027,27.651740,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2030,25.756790,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2035,25.386454,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2040,25.626554,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2045,26.016389,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2050,26.843870,.,0.000000,.
Hawaii_Coal,Coal,base,2027,4.851169,.,0.000000,.
Hawaii_Coal,Coal,base,2030,5.794434,.,0.000000,.
Hawaii_Coal,Coal,base,2035,6.459853,.,0.000000,.
Hawaii_Coal,Coal,base,2040,6.550441,.,0.000000,.
Hawaii_Coal,Coal,base,2045,6.893771,.,0.000000,.
Hawaii_Coal,Coal,base,2050,6.391876,.,0.000000,.
Hawaii_Diesel,Diesel,base,2027,8.992901,.,0.000000,.
Hawaii_Diesel,Diesel,base,2030,5.086347,.,0.000000,.
Hawaii_Diesel,Diesel,base,2035,3.788995,.,0.000000,.
Hawaii_Diesel,Diesel,base,2040,3.764838,.,0.000000,.
Hawaii_Diesel,Diesel,base,2045,3.728313,.,0.000000,.
Hawaii_Diesel,Diesel,base,2050,3.660117,.,0.000000,.
Hawaii_LNG,LNG,bulk_05,2027,4.335796,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2030,2.221852,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2035,1.511904,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2040,1.492594,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2045,1.461457,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2050,1.396097,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_10,2027,4.335796,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2030,2.221852,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2035,1.511904,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2040,1.492594,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2045,1.461457,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2050,1.396097,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_15,2027,4.335796,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2030,2.221852,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2035,1.511904,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2040,1.492594,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2045,1.461457,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2050,1.396097,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_20,2027,4.335796,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2030,2.221852,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2035,1.511904,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2040,1.492594,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2045,1.461457,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2050,1.396097,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_25,2027,4.335796,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2030,2.221852,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2035,1.511904,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2040,1.492594,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2045,1.461457,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2050,1.396097,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,container_05,2027,5.191280,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2030,4.455290,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2035,4.486203,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2040,4.347666,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2045,4.431603,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2050,2.702787,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_10,2027,5.191280,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2030,4.455290,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2035,4.486203,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2040,4.347666,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2045,4.431603,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2050,2.702787,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_15,2027,5.191280,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2030,4.455290,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2035,4.486203,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2040,4.347666,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2045,4.431603,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2050,2.702787,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_20,2027,5.191280,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2030,4.455290,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2035,4.486203,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2040,4.347666,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2045,4.431603,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2050,2.702787,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_25,2027,5.191280,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2030,4.455290,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2035,4.486203,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2040,4.347666,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2045,4.431603,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2050,2.702787,24752000.0,1.458826,25.0000000000000000
Hawaii_LSFO,LSFO,base,2027,10.895025,.,0.000000,.
Hawaii_LSFO,LSFO,base,2030,8.773996,.,0.000000,.
Hawaii_LSFO,LSFO,base,2035,8.081461,.,0.000000,.
Hawaii_LSFO,LSFO,base,2040,8.081461,.,0.000000,.
Hawaii_LSFO,LSFO,base,2045,8.081461,.,0.000000,.
Hawaii_LSFO,LSFO,base,2050,8.081461,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2027,15.826234,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2030,8.924847,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2035,6.586822,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2040,6.493119,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2045,6.351446,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2050,6.086925,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2027,14.530634,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2030,8.197067,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2035,6.056354,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2040,5.975837,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2045,5.854100,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2050,5.626803,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2027,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2030,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2035,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2040,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2045,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2050,16.916493,.,0.000000,.
