LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,2707011200,653.200019
Oahu,2707011202,595.494423
Oahu,2707011204,660.525968
Oahu,2707011206,928.258704
Oahu,2707011208,829.782859
Oahu,2707011210,715.688988
Oahu,2707011212,655.794639
Oahu,2707011214,689.812111
Oahu,2707011216,839.053728
Oahu,2707011218,1064.658107
Oahu,2707011220,959.691305
Oahu,2707011222,789.291497
Oahu,2707011900,613.072300
Oahu,2707011902,556.664694
Oahu,2707011904,630.936175
Oahu,2707011906,898.393913
Oahu,2707011908,786.377162
Oahu,2707011910,661.987364
Oahu,2707011912,616.733912
Oahu,2707011914,661.333310
Oahu,2707011916,815.381894
Oahu,2707011918,1044.418249
Oahu,2707011920,945.204406
Oahu,2707011922,774.507600
Oahu,2707021200,545.389773
Oahu,2707021202,502.380074
Oahu,2707021204,586.980482
Oahu,2707021206,853.371228
Oahu,2707021208,738.043501
Oahu,2707021210,615.303690
Oahu,2707021212,573.240216
Oahu,2707021214,625.770559
Oahu,2707021216,800.861996
Oahu,2707021218,1063.668114
Oahu,2707021220,953.234350
Oahu,2707021222,727.889926
Oahu,2707050200,627.735197
Oahu,2707050202,578.840539
Oahu,2707050204,636.667134
Oahu,2707050206,905.752861
Oahu,2707050208,818.430938
Oahu,2707050210,699.486101
Oahu,2707050212,657.939624
Oahu,2707050214,708.632979
Oahu,2707050216,867.741528
Oahu,2707050218,1055.374172
Oahu,2707050220,999.258028
Oahu,2707050222,779.193567
Oahu,2707092200,711.631610
Oahu,2707092202,647.700057
Oahu,2707092204,665.497933
Oahu,2707092206,802.001587
Oahu,2707092208,812.864977
Oahu,2707092210,713.214005
Oahu,2707092212,651.999665
Oahu,2707092214,693.123087
Oahu,2707092216,861.218573
Oahu,2707092218,1058.498150
Oahu,2707092220,972.869212
Oahu,2707092222,839.165148
Oahu,2707102700,699.234697
Oahu,2707102702,635.226145
Oahu,2707102704,658.600981
Oahu,2707102706,793.036650
Oahu,2707102708,811.335988
Oahu,2707102710,703.347074
Oahu,2707102712,639.998749
Oahu,2707102714,653.677363
Oahu,2707102716,816.987883
Oahu,2707102718,1039.743282
Oahu,2707102720,958.591312
Oahu,2707102722,820.410279
Oahu,2707121500,662.285955
Oahu,2707121502,590.874455
Oahu,2707121504,617.670267
Oahu,2707121506,749.003958
Oahu,2707121508,740.793481
Oahu,2707121510,622.134643
Oahu,2707121512,546.312405
Oahu,2707121514,560.959012
Oahu,2707121516,758.875289
Oahu,2707121518,1000.242558
Oahu,2707121520,923.435558
Oahu,2707121522,780.062561
Oahu,2708022000,606.311235
Oahu,2708022002,552.023913
Oahu,2708022004,628.519685
Oahu,2708022006,887.552769
Oahu,2708022008,797.930702
Oahu,2708022010,688.561200
Oahu,2708022012,647.803777
Oahu,2708022014,701.910594
Oahu,2708022016,874.093287
Oahu,2708022018,1096.295166
Oahu,2708022020,979.073545
Oahu,2708022022,743.542881
Oahu,2708041000,581.018278
Oahu,2708041002,540.885416
Oahu,2708041004,634.540185
Oahu,2708041006,896.977652
Oahu,2708041008,801.517869
Oahu,2708041010,679.319104
Oahu,2708041012,605.991572
Oahu,2708041014,677.794319
Oahu,2708041016,851.999078
Oahu,2708041018,1090.514572
Oahu,2708041020,1003.098427
Oahu,2708041022,765.500001
Oahu,2708061700,679.973830
Oahu,2708061702,621.322502
Oahu,2708061704,688.142061
Oahu,2708061706,908.584537
Oahu,2708061708,864.350418
Oahu,2708061710,756.089054
Oahu,2708061712,712.487030
Oahu,2708061714,754.884144
Oahu,2708061716,912.021298
Oahu,2708061718,1067.906279
Oahu,2708061720,1044.110945
Oahu,2708061722,818.473551
Oahu,2708081800,679.174143
