GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011206,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011208,0.47537926
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011210,0.8354656
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011212,0.801756
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011214,0.80249745
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011216,0.6930421
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011900,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011902,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011904,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011906,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011908,0.51318306
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011910,0.54074925
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011912,0.582301
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011914,0.42670164
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011916,0.15644857
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011918,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011920,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707011922,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021206,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021208,0.64238805
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021210,0.9587104
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021212,0.93350005
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021214,0.9403035
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021216,0.77151734
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707021222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050206,0.05028084
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050208,0.80838835
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050210,1.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050212,0.9533493
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050214,0.55183476
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050216,0.86525804
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050218,0.06599765
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707050222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092200,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092202,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092204,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092206,0.0030348063
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092208,0.8788711
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092210,0.99103004
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092212,0.8507497
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092214,0.8660235
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092216,0.87207294
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092218,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092220,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707092222,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102700,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102702,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102704,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102706,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102708,0.8129797
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102710,0.76435465
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102712,0.7380542
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102714,0.28046745
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102716,0.38964027
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102718,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102720,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707102722,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121500,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121502,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121504,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121506,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121508,0.33684316
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121510,0.8162877
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121512,0.69904435
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121514,0.81862426
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121516,0.52516764
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121518,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121520,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2707121522,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022000,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022002,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022004,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022006,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022008,0.69009584
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022010,0.956982
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022012,0.8704858
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022014,0.46072337
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022016,0.14786042
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022018,-0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022020,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708022022,0.0
Oahu_CentralTrackingPV_Constrained_C_PV_01,2708041000,0.0
