regional_fuel_market,fuel,tier,period,unit_cost,max_avail_at_cost,fixed_cost,max_age
Hawaii_Biodiesel,Biodiesel,base,2027,32.985575,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2030,32.507376,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2035,31.897884,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2040,31.213874,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2045,30.713638,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2050,30.754310,.,0.000000,.
Hawaii_Coal,Coal,base,2027,4.851169,.,0.000000,.
Hawaii_Coal,Coal,base,2030,5.794434,.,0.000000,.
Hawaii_Coal,Coal,base,2035,6.459853,.,0.000000,.
Hawaii_Coal,Coal,base,2040,6.550441,.,0.000000,.
Hawaii_Coal,Coal,base,2045,6.893771,.,0.000000,.
Hawaii_Coal,Coal,base,2050,6.391876,.,0.000000,.
Hawaii_Diesel,Diesel,base,2027,19.507667,.,0.000000,.
Hawaii_Diesel,Diesel,base,2030,18.431252,.,0.000000,.
Hawaii_Diesel,Diesel,base,2035,16.774978,.,0.000000,.
Hawaii_Diesel,Diesel,base,2040,14.991716,.,0.000000,.
Hawaii_Diesel,Diesel,base,2045,13.277178,.,0.000000,.
Hawaii_Diesel,Diesel,base,2050,11.792271,.,0.000000,.
Hawaii_LNG,LNG,bulk_05,2027,10.025444,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2030,9.530697,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2035,8.800394,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2040,7.983180,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2045,7.213002,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2050,6.599983,36400000.0,3.612540,5.0000000000000000
Hawaii_LNG,LNG,bulk_10,2027,10.025444,36400000.0,2.067548,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2030,9.530697,36400000.0,2.067548,10.0000000000000000
