GENERATION_PROJECT,fuel
Oahu_Airport_DSG,Biodiesel
Oahu_CIP_CT,Biodiesel
Oahu_CIP_CT,Diesel
Oahu_Hawaii_Cogen,Biodiesel
Oahu_Hawaii_Cogen,Diesel
Oahu_Hawaii_Cogen,LSFO
Oahu_IC_Barge,Biodiesel
Oahu_IC_Barge,Diesel
Oahu_IC_MCBH,Biodiesel
Oahu_IC_MCBH,Diesel
Oahu_IC_Schofield,Biodiesel
Oahu_IC_Schofield,Diesel
Oahu_JERA,Biodiesel
Oahu_JERA,Diesel
Oahu_JERA,LNG
Oahu_JERA,LSFO
Oahu_Kahe_1,Biodiesel
Oahu_Kahe_1,Diesel
Oahu_Kahe_1,LSFO
Oahu_Kahe_2,Biodiesel
Oahu_Kahe_2,Diesel
Oahu_Kahe_2,LSFO
Oahu_Kahe_3,Biodiesel
Oahu_Kahe_3,Diesel
Oahu_Kahe_3,LSFO
Oahu_Kahe_4,Biodiesel
Oahu_Kahe_4,Diesel
Oahu_Kahe_4,LSFO
Oahu_Kahe_5,Biodiesel
Oahu_Kahe_5,Diesel
Oahu_Kahe_5,LSFO
Oahu_Kahe_6,Biodiesel
Oahu_Kahe_6,Diesel
Oahu_Kahe_6,LSFO
Oahu_Kalaeloa_CC1,Biodiesel
Oahu_Kalaeloa_CC1,Diesel
Oahu_Kalaeloa_CC1,LSFO
Oahu_Kalaeloa_CC2,Biodiesel
Oahu_Kalaeloa_CC2,Diesel
Oahu_Kalaeloa_CC2,LSFO
Oahu_Kalaeloa_CC3,Biodiesel
Oahu_Kalaeloa_CC3,Diesel
Oahu_Kalaeloa_CC3,LSFO
Oahu_Tesoro_Hawaii,Biodiesel
Oahu_Tesoro_Hawaii,Diesel
Oahu_Tesoro_Hawaii,LSFO
Oahu_Waiau_10,Biodiesel
Oahu_Waiau_10,Diesel
Oahu_Waiau_7,Biodiesel
Oahu_Waiau_7,Diesel
Oahu_Waiau_7,LSFO
Oahu_Waiau_8,Biodiesel
Oahu_Waiau_8,Diesel
Oahu_Waiau_8,LSFO
Oahu_Waiau_9,Biodiesel
Oahu_Waiau_9,Diesel
Oahu_Puuloa,Biodiesel
Oahu_Waiau_Repower,LSFO
Oahu_Waiau_Repower,Diesel
Oahu_Waiau_Repower,Biodiesel
Oahu_LSFO_CCGT,LSFO
Oahu_LSFO_CCGT,Biodiesel
Oahu_LSFO_CCGT,Diesel
