LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,2707011200,653.200019
Oahu,2707011202,595.494423
Oahu,2707011204,660.525968
Oahu,2707011206,936.778035
Oahu,2707011208,902.770203
Oahu,2707011210,782.809852
Oahu,2707011212,738.817899
Oahu,2707011214,676.914528
Oahu,2707011216,817.420082
Oahu,2707011218,1104.306863
Oahu,2707011220,946.780203
Oahu,2707011222,782.785955
Oahu,2707011900,613.072300
Oahu,2707011902,556.664694
Oahu,2707011904,630.936175
Oahu,2707011906,906.913244
Oahu,2707011908,833.417722
Oahu,2707011910,671.275953
Oahu,2707011912,642.486727
Oahu,2707011914,668.780674
Oahu,2707011916,853.252403
Oahu,2707011918,1084.067004
Oahu,2707011920,928.586770
Oahu,2707011922,764.859860
Oahu,2707021200,545.389773
Oahu,2707021202,502.380074
Oahu,2707021204,586.980482
Oahu,2707021206,861.890559
Oahu,2707021208,740.054283
Oahu,2707021210,597.546309
Oahu,2707021212,538.287195
Oahu,2707021214,510.708888
Oahu,2707021216,761.243206
Oahu,2707021218,1103.316869
Oahu,2707021220,928.392175
Oahu,2707021222,711.269868
Oahu,2707050200,627.735197
Oahu,2707050202,578.840539
Oahu,2707050204,636.667134
Oahu,2707050206,898.789709
Oahu,2707050208,800.768811
Oahu,2707050210,629.555335
Oahu,2707050212,723.143877
Oahu,2707050214,645.046513
Oahu,2707050216,868.315535
Oahu,2707050218,1068.203517
Oahu,2707050220,978.306283
Oahu,2707050222,765.871605
Oahu,2707092200,711.631610
Oahu,2707092202,647.700057
Oahu,2707092204,665.497933
Oahu,2707092206,809.050914
Oahu,2707092208,845.636370
Oahu,2707092210,756.510555
Oahu,2707092212,535.819251
Oahu,2707092214,617.148604
Oahu,2707092216,826.767666
Oahu,2707092218,1098.146906
Oahu,2707092220,948.766864
Oahu,2707092222,823.172274
Oahu,2707102700,699.234697
Oahu,2707102702,635.226145
Oahu,2707102704,658.600981
Oahu,2707102706,801.555981
Oahu,2707102708,771.666382
Oahu,2707102710,754.278398
Oahu,2707102712,687.464793
Oahu,2707102714,710.016566
Oahu,2707102716,923.555637
Oahu,2707102718,1079.392037
Oahu,2707102720,946.364349
Oahu,2707102722,814.484712
Oahu,2707121500,662.285955
Oahu,2707121502,590.874455
Oahu,2707121504,617.670267
Oahu,2707121506,757.523289
Oahu,2707121508,844.036393
Oahu,2707121510,631.256757
Oahu,2707121512,647.884881
Oahu,2707121514,688.548778
Oahu,2707121516,866.898961
Oahu,2707121518,1039.891313
Oahu,2707121520,914.476641
Oahu,2707121522,776.907467
Oahu,2708022000,606.311235
Oahu,2708022002,552.023913
Oahu,2708022004,628.519685
Oahu,2708022006,896.072100
Oahu,2708022008,789.159034
Oahu,2708022010,625.156577
Oahu,2708022012,578.625166
Oahu,2708022014,699.904010
Oahu,2708022016,848.631990
Oahu,2708022018,1135.943922
Oahu,2708022020,955.529324
Oahu,2708022022,728.023157
Oahu,2708041000,581.018278
Oahu,2708041002,540.885416
Oahu,2708041004,634.540185
Oahu,2708041006,901.147925
Oahu,2708041008,769.757891
Oahu,2708041010,653.938231
Oahu,2708041012,563.124181
Oahu,2708041014,673.173270
Oahu,2708041016,816.575154
Oahu,2708041018,1113.799110
Oahu,2708041020,981.968458
Oahu,2708041022,752.026949
Oahu,2708061700,679.973830
Oahu,2708061702,621.322502
Oahu,2708061704,688.142061
Oahu,2708061706,859.088108
Oahu,2708061708,792.139253
Oahu,2708061710,668.361657
Oahu,2708061712,693.076165
Oahu,2708061714,825.061442
Oahu,2708061716,811.230796
Oahu,2708061718,1068.225200
Oahu,2708061720,1024.385562
Oahu,2708061722,806.191232
Oahu,2708081800,679.174143
