regional_fuel_market,fuel,tier,period,unit_cost,max_avail_at_cost,fixed_cost,max_age
Hawaii_Biodiesel,Biodiesel,base,2027,35.305612,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2030,39.173572,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2035,41.003002,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2040,41.027601,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2045,41.091610,.,0.000000,.
Hawaii_Biodiesel,Biodiesel,base,2050,41.310734,.,0.000000,.
Hawaii_Coal,Coal,base,2027,4.851169,.,0.000000,.
Hawaii_Coal,Coal,base,2030,5.794434,.,0.000000,.
Hawaii_Coal,Coal,base,2035,6.459853,.,0.000000,.
Hawaii_Coal,Coal,base,2040,6.550441,.,0.000000,.
Hawaii_Coal,Coal,base,2045,6.893771,.,0.000000,.
Hawaii_Coal,Coal,base,2050,6.391876,.,0.000000,.
Hawaii_Diesel,Diesel,base,2027,24.081233,.,0.000000,.
Hawaii_Diesel,Diesel,base,2030,31.609332,.,0.000000,.
Hawaii_Diesel,Diesel,base,2035,34.933648,.,0.000000,.
Hawaii_Diesel,Diesel,base,2040,34.710921,.,0.000000,.
Hawaii_Diesel,Diesel,base,2045,34.374173,.,0.000000,.
Hawaii_Diesel,Diesel,base,2050,33.745420,.,0.000000,.
Hawaii_LNG,LNG,bulk_05,2027,12.500248,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2030,16.608874,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2035,18.535195,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2040,18.515885,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2045,18.484748,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_05,2050,18.419388,36400000.0,3.010450,5.0000000000000000
Hawaii_LNG,LNG,bulk_10,2027,12.500248,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2030,16.608874,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2035,18.535195,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2040,18.515885,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2045,18.484748,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_10,2050,18.419388,36400000.0,1.722957,10.0000000000000000
Hawaii_LNG,LNG,bulk_15,2027,12.500248,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2030,16.608874,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2035,18.535195,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2040,18.515885,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2045,18.484748,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_15,2050,18.419388,36400000.0,1.305682,15.0000000000000000
Hawaii_LNG,LNG,bulk_20,2027,12.500248,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2030,16.608874,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2035,18.535195,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2040,18.515885,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2045,18.484748,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_20,2050,18.419388,36400000.0,1.105597,20.0000000000000000
Hawaii_LNG,LNG,bulk_25,2027,12.500248,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2030,16.608874,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2035,18.535195,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2040,18.515885,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2045,18.484748,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,bulk_25,2050,18.419388,36400000.0,0.992002,25.0000000000000000
Hawaii_LNG,LNG,container_05,2027,13.355732,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2030,18.842312,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2035,21.509494,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2040,21.370957,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2045,21.454894,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_05,2050,19.726078,24752000.0,4.427132,5.0000000000000000
Hawaii_LNG,LNG,container_10,2027,13.355732,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2030,18.842312,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2035,21.509494,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2040,21.370957,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2045,21.454894,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_10,2050,19.726078,24752000.0,2.533760,10.0000000000000000
Hawaii_LNG,LNG,container_15,2027,13.355732,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2030,18.842312,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2035,21.509494,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2040,21.370957,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2045,21.454894,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_15,2050,19.726078,24752000.0,1.920121,15.0000000000000000
Hawaii_LNG,LNG,container_20,2027,13.355732,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2030,18.842312,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2035,21.509494,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2040,21.370957,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2045,21.454894,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_20,2050,19.726078,24752000.0,1.625878,20.0000000000000000
Hawaii_LNG,LNG,container_25,2027,13.355732,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2030,18.842312,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2035,21.509494,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2040,21.370957,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2045,21.454894,24752000.0,1.458826,25.0000000000000000
Hawaii_LNG,LNG,container_25,2050,19.726078,24752000.0,1.458826,25.0000000000000000
Hawaii_LSFO,LSFO,base,2027,19.113317,.,0.000000,.
Hawaii_LSFO,LSFO,base,2030,23.255891,.,0.000000,.
Hawaii_LSFO,LSFO,base,2035,25.217009,.,0.000000,.
Hawaii_LSFO,LSFO,base,2040,25.217009,.,0.000000,.
Hawaii_LSFO,LSFO,base,2045,25.217009,.,0.000000,.
Hawaii_LSFO,LSFO,base,2050,25.217009,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2027,42.379568,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2030,55.463863,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2035,60.728956,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2040,59.865039,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2045,58.558846,.,0.000000,.
Hawaii_Motor_Diesel,Motor_Diesel,base,2050,56.120026,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2027,38.910205,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2030,50.941046,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2035,55.838168,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2040,55.095820,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2045,53.973434,.,0.000000,.
Hawaii_Motor_Gasoline,Motor_Gasoline,base,2050,51.877802,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2027,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2030,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2035,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2040,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2045,16.916493,.,0.000000,.
Hawaii_Pellet-Biomass,Pellet-Biomass,base,2050,16.916493,.,0.000000,.
