GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_Airport_DSG,2013,676626.207886,.,9625.140041
Oahu_Battery_Bulk,2021,386375.314230,443771.647141,24095.142567
Oahu_Battery_Bulk,2022,474883.327944,511412.136104,49229.138132
Oahu_Battery_Bulk,2023,466877.773564,502790.781288,48399.236303
Oahu_Battery_Bulk,2024,448861.111840,460368.772059,44733.128907
Oahu_Battery_Bulk,2025,398262.593859,396431.772720,38749.798530
Oahu_Battery_Bulk,2045,374918.170139,237250.551042,25857.819811
Oahu_Battery_Conting,2045,503005.940847,0.000000,26353.580615
Oahu_Battery_Reg,2045,623905.567509,0.000000,26353.580615
Oahu_CIP_CT,2009,676626.207886,.,17149.271184
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_06,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_07,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_08,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_09,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_10,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_11,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_12,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_13,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_14,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_15,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_16,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_17,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_18,2045,953944.942069,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_01,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_02,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_03,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_04,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_05,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_06,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_07,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_08,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_09,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_10,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_11,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_12,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_13,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_14,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_15,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_16,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_17,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_18,2045,1001642.189173,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_01,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_02,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_03,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_04,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_05,2045,1049339.436276,.,14249.596406
Oahu_CentralTrackingPV_Reference_wSlope_Steep_PV_06,2045,1049339.436276,.,14249.596406
