LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,4507011200,824.133482
Oahu,4507011202,785.640732
Oahu,4507011204,829.020285
Oahu,4507011206,1013.295335
Oahu,4507011208,931.225243
Oahu,4507011210,745.279401
Oahu,4507011212,690.989957
Oahu,4507011214,624.622299
Oahu,4507011216,828.741403
Oahu,4507011218,1125.046111
Oahu,4507011220,937.758407
Oahu,4507011222,840.882042
Oahu,4507011900,797.366126
Oahu,4507011902,759.739206
Oahu,4507011904,809.282295
Oahu,4507011906,993.373906
Oahu,4507011908,873.243951
Oahu,4507011910,640.183479
Oahu,4507011912,596.333288
Oahu,4507011914,629.995471
Oahu,4507011916,879.519871
Oahu,4507011918,1111.545033
Oahu,4507011920,928.094863
Oahu,4507011922,831.020385
Oahu,4507021200,752.218225
Oahu,4507021202,723.528432
Oahu,4507021204,779.961474
Oahu,4507021206,963.341343
Oahu,4507021208,790.626793
Oahu,4507021210,576.646096
Oahu,4507021212,494.604528
Oahu,4507021214,459.526494
Oahu,4507021216,783.145002
Oahu,4507021218,1124.385732
Oahu,4507021220,933.451269
Oahu,4507021222,799.923878
Oahu,4507050200,807.147070
Oahu,4507050202,774.531692
Oahu,4507050204,813.105155
Oahu,4507050206,980.962062
Oahu,4507050208,822.240956
Oahu,4507050210,570.304740
Oahu,4507050212,671.076389
Oahu,4507050214,576.459464
Oahu,4507050216,872.722000
Oahu,4507050218,1088.849646
Oahu,4507050220,964.151548
Oahu,4507050222,834.146178
Oahu,4507092200,863.110509
Oahu,4507092202,820.464710
Oahu,4507092204,832.336854
Oahu,4507092206,927.430487
Oahu,4507092208,874.949462
Oahu,4507092210,715.090644
Oahu,4507092212,449.843597
Oahu,4507092214,551.274618
Oahu,4507092216,829.187545
Oahu,4507092218,1120.937087
Oahu,4507092220,946.548783
Oahu,4507092222,874.150461
Oahu,4507102700,854.841098
Oahu,4507102702,812.143937
Oahu,4507102704,827.736215
Oahu,4507102706,923.094921
Oahu,4507102708,792.887896
Oahu,4507102710,717.654135
Oahu,4507102712,637.861251
Oahu,4507102714,683.453332
Oahu,4507102716,957.444565
Oahu,4507102718,1108.426577
Oahu,4507102720,937.024652
Oahu,4507102722,861.639951
Oahu,4507121500,830.194292
Oahu,4507121502,782.558964
Oahu,4507121504,800.433218
Oahu,4507121506,893.722737
Oahu,4507121508,905.712220
Oahu,4507121510,613.400151
Oahu,4507121512,640.178459
Oahu,4507121514,706.952237
Oahu,4507121516,920.309099
Oahu,4507121518,1082.077461
Oahu,4507121520,913.573866
Oahu,4507121522,834.725844
Oahu,4508022000,792.856130
Oahu,4508022002,756.643554
Oahu,4508022004,807.670366
Oahu,4508022006,986.142278
Oahu,4508022008,818.512181
Oahu,4508022010,570.834542
Oahu,4508022012,503.345536
Oahu,4508022014,645.738358
Oahu,4508022016,847.832588
Oahu,4508022018,1146.149739
Oahu,4508022020,950.687408
Oahu,4508022022,810.365245
Oahu,4508041000,775.984362
Oahu,4508041002,749.213575
Oahu,4508041004,811.686365
Oahu,4508041006,987.563778
Oahu,4508041008,795.187389
Oahu,4508041010,610.216082
Oahu,4508041012,506.971272
Oahu,4508041014,626.519777
Oahu,4508041016,821.949104
Oahu,4508041018,1123.986690
Oahu,4508041020,966.713302
Oahu,4508041022,825.011830
Oahu,4508061700,841.993060
Oahu,4508061702,802.869456
Oahu,4508061704,847.441711
Oahu,4508061706,935.267849
Oahu,4508061708,791.846288
Oahu,4508061710,586.744381
Oahu,4508061712,606.106751
Oahu,4508061714,767.539599
Oahu,4508061716,788.859860
Oahu,4508061718,1083.213499
Oahu,4508061720,994.070866
Oahu,4508061722,860.348049
Oahu,4508081800,841.459625
Oahu,4508081802,807.952324
Oahu,4508081804,851.168131
Oahu,4508081806,1006.798810
Oahu,4508081808,863.662986
Oahu,4508081810,786.068930
Oahu,4508081812,624.173116
Oahu,4508081814,709.898786
Oahu,4508081816,973.857174
Oahu,4508081818,1110.291140
Oahu,4508081820,1017.816318
Oahu,4508081822,870.810984
Oahu,4508091000,840.232726
Oahu,4508091002,805.894791
Oahu,4508091004,851.594879
Oahu,4508091006,1009.979639
Oahu,4508091008,810.295243
Oahu,4508091010,612.689514
Oahu,4508091012,494.347468
Oahu,4508091014,604.090338
Oahu,4508091016,861.914243
Oahu,4508091018,1161.394690
Oahu,4508091020,994.680506
Oahu,4508091022,849.961319
Oahu,4508112200,809.537386
Oahu,4508112202,763.730611
Oahu,4508112204,779.634577
Oahu,4508112206,870.707072
Oahu,4508112208,847.196869
Oahu,4508112210,679.171438
Oahu,4508112212,591.372825
Oahu,4508112214,614.298656
Oahu,4508112216,900.852594
Oahu,4508112218,1055.222033
Oahu,4508112220,875.419813
Oahu,4508112222,801.594059
