LOAD_ZONE,TIMEPOINT,zone_demand_mw
Oahu,2707011200,653.200019
Oahu,2707011202,595.494423
Oahu,2707011204,660.525968
Oahu,2707011206,936.778035
Oahu,2707011208,905.267788
Oahu,2707011210,766.191385
Oahu,2707011212,719.691803
Oahu,2707011214,655.267701
Oahu,2707011216,821.833415
Oahu,2707011218,1104.306863
Oahu,2707011220,914.190316
Oahu,2707011222,755.158017
Oahu,2707011900,613.072300
Oahu,2707011902,556.664694
Oahu,2707011904,630.936175
Oahu,2707011906,906.913244
Oahu,2707011908,836.408198
Oahu,2707011910,651.571581
Oahu,2707011912,620.304705
Oahu,2707011914,648.219444
Oahu,2707011916,856.535383
Oahu,2707011918,1084.067004
Oahu,2707011920,899.703417
Oahu,2707011922,740.374120
Oahu,2707021200,545.389773
Oahu,2707021202,502.380074
Oahu,2707021204,586.980482
Oahu,2707021206,861.890559
Oahu,2707021208,743.900153
Oahu,2707021210,576.398775
Oahu,2707021212,512.865935
Oahu,2707021214,483.610629
Oahu,2707021216,765.998188
Oahu,2707021218,1103.316869
Oahu,2707021220,907.733361
Oahu,2707021222,693.756446
Oahu,2707050200,627.735197
Oahu,2707050202,578.840539
Oahu,2707050204,636.667134
Oahu,2707050206,899.083818
Oahu,2707050208,804.988392
Oahu,2707050210,605.623853
Oahu,2707050212,703.066966
Oahu,2707050214,620.694949
Oahu,2707050216,872.307008
Oahu,2707050218,1068.712984
Oahu,2707050220,953.757039
Oahu,2707050222,745.060087
Oahu,2707092200,711.631610
Oahu,2707092202,647.700057
Oahu,2707092204,665.497933
Oahu,2707092206,809.078839
Oahu,2707092208,848.897906
Oahu,2707092210,738.620833
Oahu,2707092212,506.063733
Oahu,2707092214,592.136021
Oahu,2707092216,831.424479
Oahu,2707092218,1098.146906
Oahu,2707092220,927.368224
Oahu,2707092222,805.031668
Oahu,2707102700,699.234697
Oahu,2707102702,635.226145
Oahu,2707102704,658.600981
Oahu,2707102706,801.555981
Oahu,2707102708,776.304021
Oahu,2707102710,736.796064
Oahu,2707102712,666.441380
Oahu,2707102714,692.064183
Oahu,2707102716,925.533631
Oahu,2707102718,1079.392037
Oahu,2707102720,913.090324
Oahu,2707102722,786.276799
Oahu,2707121500,662.285955
Oahu,2707121502,590.874455
Oahu,2707121504,617.670267
Oahu,2707121506,757.523289
Oahu,2707121508,845.959238
Oahu,2707121510,611.543502
Oahu,2707121512,629.748563
Oahu,2707121514,674.398295
Oahu,2707121516,868.849298
Oahu,2707121518,1039.891313
Oahu,2707121520,877.934570
Oahu,2707121522,745.929081
Oahu,2708022000,606.311235
Oahu,2708022002,552.023913
Oahu,2708022004,628.519685
Oahu,2708022006,896.072100
Oahu,2708022008,793.209730
Oahu,2708022010,601.573327
Oahu,2708022012,551.377644
Oahu,2708022014,678.838322
Oahu,2708022016,853.118035
Oahu,2708022018,1135.943922
Oahu,2708022020,933.572557
Oahu,2708022022,709.409401
Oahu,2708041000,581.018278
Oahu,2708041002,540.885416
Oahu,2708041004,634.540185
Oahu,2708041006,901.230540
Oahu,2708041008,774.245277
Oahu,2708041010,632.383912
Oahu,2708041012,537.280615
Oahu,2708041014,651.968074
Oahu,2708041016,821.250450
Oahu,2708041018,1114.109968
Oahu,2708041020,957.597438
Oahu,2708041022,731.366521
Oahu,2708061700,679.973830
Oahu,2708061702,621.322502
Oahu,2708061704,688.142061
Oahu,2708061706,860.190187
Oahu,2708061708,797.395058
Oahu,2708061710,643.480554
Oahu,2708061712,668.484228
Oahu,2708061714,807.847454
Oahu,2708061716,817.147808
Oahu,2708061718,1068.972317
Oahu,2708061720,998.609956
Oahu,2708061722,784.340071
Oahu,2708081800,679.174143
