period,category,bound,gwh
2030,fossil,min,2806.8
2030,fossil,max,3102.3
2030,usolar,min,1986.7
2030,usolar,max,2067.7
2030,wind,min,1247.7
2030,wind,max,1298.7
2035,fossil,min,1910.2
2035,fossil,max,2111.3
2035,usolar,min,1611.9
2035,usolar,max,1677.7
2035,offshore,min,1766.7
2035,wind,min,2752.8
2035,wind,max,2865.1
2040,fossil,min,2039.2
2040,fossil,max,2253.9
2040,usolar,min,2096.8
2040,usolar,max,2182.4
2040,offshore,min,1633.4
2040,wind,min,2391.3
2040,wind,max,2488.9
2045,usolar,min,2423.9
2045,usolar,max,2522.8
2045,offshore,min,1170.6
2045,wind,min,1836.7
2045,wind,max,1911.7
2045,hydrogen,min,2525.2
2045,hydrogen,max,2628.2
2050,usolar,min,2936.9
2050,usolar,max,3056.7
2050,offshore,min,1184.7
2050,wind,min,1792.7
2050,wind,max,1865.9
2050,hydrogen,min,2260.5
2050,hydrogen,max,2352.8
