period,category,bound,gwh
2030,fossil,min,2694.1
2030,usolar,min,1906.9
2030,usolar,max,1984.7
2030,wind,min,1197.6
2030,wind,max,1246.5
2035,fossil,min,1772.4
2035,fossil,max,1958.9
2035,usolar,min,1495.6
2035,usolar,max,1556.6
2035,offshore,min,1639.3
2035,wind,min,2554.1
2035,wind,max,2658.4
2040,fossil,min,1839.0
2040,fossil,max,2032.6
2040,usolar,min,1891.0
2040,usolar,max,1968.2
2040,offshore,min,1473.0
2040,wind,min,2156.5
2040,wind,max,2244.5
2045,usolar,min,2133.5
2045,usolar,max,2220.6
2045,offshore,min,1030.4
2045,wind,min,1616.6
2045,wind,max,1682.6
2045,hydrogen,min,2222.6
2045,hydrogen,max,2313.4
2050,usolar,min,2537.9
2050,usolar,max,2641.5
2050,offshore,min,1023.8
2050,wind,min,1549.2
2050,wind,max,1612.4
2050,hydrogen,min,1953.5
2050,hydrogen,max,2033.2
