period,category,bound,gwh
2030,fossil,min,2762.7
2030,fossil,max,3053.5
2030,usolar,min,1955.4
2030,usolar,max,2035.2
2030,wind,min,1228.1
2030,wind,max,1278.2
2035,fossil,min,1877.0
2035,fossil,max,2074.6
2035,usolar,min,1583.9
2035,usolar,max,1648.5
2035,offshore,min,1736.1
2035,wind,min,2705.0
2035,wind,max,2815.4
2040,fossil,min,2000.8
2040,fossil,max,2211.4
2040,usolar,min,2057.4
2040,usolar,max,2141.4
2040,offshore,min,1602.6
2040,wind,min,2346.3
2040,wind,max,2442.0
2045,firm,min,2479.8
2045,usolar,min,2375.4
2045,usolar,max,2472.4
2045,offshore,min,1147.2
2045,wind,min,1800.0
2045,wind,max,1873.4
2050,firm,min,2222.2
2050,usolar,min,2875.1
2050,usolar,max,2992.5
2050,offshore,min,1159.8
2050,wind,min,1755.0
2050,wind,max,1826.7
