period,category,bound,gwh
2030,fossil,min,2752.7
2030,usolar,min,1948.4
2030,usolar,max,2027.9
2030,wind,min,1223.7
2030,wind,max,1273.6
2035,fossil,min,1827.7
2035,fossil,max,2020.1
2035,usolar,min,1542.3
2035,usolar,max,1605.2
2035,offshore,min,1690.5
2035,wind,min,2633.9
2035,wind,max,2741.4
2040,fossil,min,1911.7
2040,fossil,max,2112.9
2040,usolar,min,1965.7
2040,usolar,max,2045.9
2040,offshore,min,1531.2
2040,wind,min,2241.7
2040,wind,max,2333.2
2045,firm,min,2331.3
2045,usolar,min,2233.2
2045,usolar,max,2324.4
2045,offshore,min,1078.5
2045,wind,min,1692.2
2045,wind,max,1761.3
2050,firm,min,2064.5
2050,usolar,min,2671.1
2050,usolar,max,2780.2
2050,offshore,min,1077.5
2050,wind,min,1630.5
2050,wind,max,1697.1
