period,category,bound,gwh
2030,fossil,min,2761.4
2030,fossil,max,3052.1
2030,usolar,min,1959.7
2030,usolar,max,2039.7
2030,wind,min,1224.8
2030,wind,max,1274.8
2035,fossil,min,1686.9
2035,fossil,max,1864.4
2035,usolar,min,1823.1
2035,usolar,max,1897.5
2035,offshore,min,1725.6
2035,wind,min,2662.1
2035,wind,max,2770.8
2040,fossil,min,1696.5
2040,fossil,max,1875.1
2040,usolar,min,2312.6
2040,usolar,max,2407.0
2040,offshore,min,1555.7
2040,wind,min,2270.0
2040,wind,max,2362.7
2045,firm,min,2279.6
2045,usolar,min,2661.3
2045,usolar,max,2770.0
2045,offshore,min,1103.6
2045,wind,min,1715.1
2045,wind,max,1785.1
2050,firm,min,2089.5
2050,usolar,min,3063.5
2050,usolar,max,3188.6
2050,offshore,min,1125.0
2050,wind,min,1700.0
2050,wind,max,1769.4
