period,category,bound,gwh
2030,fossil,min,2692.8
2030,usolar,min,1911.0
2030,usolar,max,1989.0
2030,wind,min,1194.4
2030,wind,max,1243.2
2035,fossil,min,1592.8
2035,fossil,max,1760.5
2035,usolar,min,1721.4
2035,usolar,max,1791.7
2035,offshore,min,1629.4
2035,wind,min,2513.7
2035,wind,max,2616.3
2040,fossil,min,1559.3
2040,fossil,max,1723.4
2040,usolar,min,2125.6
2040,usolar,max,2212.3
2040,offshore,min,1429.9
2040,wind,min,2086.4
2040,wind,max,2171.6
2045,firm,min,2047.4
2045,usolar,min,2390.3
2045,usolar,max,2487.8
2045,offshore,min,991.2
2045,wind,min,1540.4
2045,wind,max,1603.3
2050,firm,min,1844.5
2050,usolar,min,2704.3
2050,usolar,max,2814.7
2050,offshore,min,993.1
2050,wind,min,1500.7
2050,wind,max,1561.9
