period,category,bound,gwh
2030,fossil,min,1678.0
2030,usolar,min,3885.6
2030,usolar,max,4044.1
2030,wind,min,245.9
2030,wind,max,255.9
2035,fossil,min,437.0
2035,fossil,max,483.0
2035,usolar,min,3099.9
2035,usolar,max,3226.4
2035,offshore,min,1684.6
2035,wind,min,1850.8
2035,wind,max,1926.3
2040,fossil,min,156.6
2040,fossil,max,173.1
2040,usolar,min,3260.5
2040,usolar,max,3393.6
2040,offshore,min,1561.3
2040,wind,min,1561.3
2040,wind,max,1625.0
2045,firm,min,190.3
2045,usolar,min,3381.8
2045,usolar,max,3519.8
2045,offshore,min,1394.9
2045,wind,min,1454.5
2045,wind,max,1513.8
2050,firm,min,185.9
2050,usolar,min,3304.7
2050,usolar,max,3439.6
2050,offshore,min,1363.1
2050,wind,min,1421.3
2050,wind,max,1479.3
