period,category,bound,gwh
2030,fossil,min,621.5
2030,usolar,min,4055.7
2030,usolar,max,4221.3
2030,wind,min,256.6
2030,wind,max,267.1
2035,fossil,min,473.0
2035,fossil,max,522.7
2035,usolar,min,3354.6
2035,usolar,max,3491.6
2035,offshore,min,1823.0
2035,wind,min,2002.9
2035,wind,max,2084.6
2040,fossil,min,175.3
2040,fossil,max,193.7
2040,usolar,min,3649.1
2040,usolar,max,3798.1
2040,offshore,min,1747.4
2040,wind,min,1747.4
2040,wind,max,1818.7
2045,firm,min,218.9
2045,usolar,min,3891.0
2045,usolar,max,4049.8
2045,offshore,min,1604.9
2045,wind,min,1673.5
2045,wind,max,1741.8
2050,firm,min,218.3
2050,usolar,min,3880.2
2050,usolar,max,4038.5
2050,offshore,min,1600.4
2050,wind,min,1668.8
2050,wind,max,1736.9
