period,category,bound,gwh
2030,fossil,min,645.7
2030,usolar,min,4213.1
2030,usolar,max,4385.1
2030,wind,min,266.6
2030,wind,max,277.5
2035,fossil,min,516.3
2035,fossil,max,570.7
2035,usolar,min,3662.2
2035,usolar,max,3811.6
2035,offshore,min,1990.1
2035,wind,min,2186.5
2035,wind,max,2275.7
2040,fossil,min,199.6
2040,fossil,max,220.6
2040,usolar,min,4154.8
2040,usolar,max,4324.4
2040,offshore,min,1989.6
2040,wind,min,1989.6
2040,wind,max,2070.8
2045,firm,min,258.5
2045,usolar,min,4594.6
2045,usolar,max,4782.1
2045,offshore,min,1895.1
2045,wind,min,1976.1
2045,wind,max,2056.7
2050,firm,min,265.0
2050,usolar,min,4709.6
2050,usolar,max,4901.8
2050,offshore,min,1942.5
2050,wind,min,2025.5
2050,wind,max,2108.2
