period,category,bound,gwh
2030,fossil,min,3328.9
2030,fossil,max,3679.3
2030,usolar,min,2014.6
2030,usolar,max,2096.9
2030,wind,min,251.8
2030,wind,max,262.1
2035,fossil,min,1195.7
2035,fossil,max,1321.6
2035,usolar,min,1785.6
2035,usolar,max,1858.5
2035,offshore,min,1850.2
2035,wind,min,2137.0
2035,wind,max,2224.3
2040,fossil,min,795.7
2040,fossil,max,879.5
2040,usolar,min,1594.2
2040,usolar,max,1659.3
2040,offshore,min,1655.3
2040,wind,min,2082.7
2040,wind,max,2167.7
2045,usolar,min,1771.0
2045,usolar,max,1843.2
2045,offshore,min,1848.0
2045,wind,min,2335.6
2045,wind,max,2430.9
2050,usolar,min,1730.6
2050,usolar,max,1801.2
2050,offshore,min,1805.8
2050,wind,min,2282.4
2050,wind,max,2375.5
