period,category,bound,gwh
2030,fossil,min,1978.8
2030,usolar,min,2014.8
2030,usolar,max,2097.1
2030,wind,min,251.4
2030,wind,max,261.7
2035,fossil,min,1198.4
2035,fossil,max,1324.5
2035,usolar,min,1784.3
2035,usolar,max,1857.2
2035,offshore,min,1848.4
2035,wind,min,2133.4
2035,wind,max,2220.5
2040,fossil,min,793.9
2040,fossil,max,877.5
2040,usolar,min,1596.3
2040,usolar,max,1661.4
2040,offshore,min,1656.9
2040,wind,min,2086.7
2040,wind,max,2171.9
2045,firm,min,825.2
2045,usolar,min,1767.5
2045,usolar,max,1839.7
2045,offshore,min,1848.5
2045,wind,min,2332.8
2045,wind,max,2428.0
2050,firm,min,806.4
2050,usolar,min,1727.2
2050,usolar,max,1797.7
2050,offshore,min,1806.4
2050,wind,min,2279.6
2050,wind,max,2372.7
