period,category,bound,gwh
2030,fossil,min,1815.0
2030,fossil,max,2006.0
2030,usolar,min,4141.7
2030,usolar,max,4310.7
2030,wind,min,259.4
2030,wind,max,269.9
2035,fossil,min,538.7
2035,fossil,max,595.4
2035,usolar,min,3583.2
2035,usolar,max,3729.4
2035,offshore,min,1949.2
2035,wind,min,2140.0
2035,wind,max,2227.3
2040,fossil,min,262.2
2040,fossil,max,289.8
2040,usolar,min,4048.1
2040,usolar,max,4213.3
2040,offshore,min,1943.8
2040,wind,min,1943.8
2040,wind,max,2023.1
2045,usolar,min,4488.4
2045,usolar,max,4671.6
2045,offshore,min,1851.7
2045,wind,min,1928.5
2045,wind,max,2007.2
2050,usolar,min,4595.9
2050,usolar,max,4783.5
2050,offshore,min,1896.0
2050,wind,min,1974.7
2050,wind,max,2055.3
