period,category,bound,gwh
2030,fossil,min,3474.7
2030,fossil,max,3840.5
2030,usolar,min,2102.9
2030,usolar,max,2188.7
2030,wind,min,262.9
2030,wind,max,273.6
2035,fossil,min,1294.0
2035,fossil,max,1430.2
2035,usolar,min,1932.4
2035,usolar,max,2011.3
2035,offshore,min,2002.2
2035,wind,min,2312.7
2035,wind,max,2407.0
2040,fossil,min,890.6
2040,fossil,max,984.3
2040,usolar,min,1784.3
2040,usolar,max,1857.1
2040,offshore,min,1852.6
2040,wind,min,2330.9
2040,wind,max,2426.1
2045,usolar,min,2037.6
2045,usolar,max,2120.8
2045,offshore,min,2126.2
2045,wind,min,2687.3
2045,wind,max,2797.0
2050,usolar,min,2031.9
2050,usolar,max,2114.9
2050,offshore,min,2120.3
2050,wind,min,2679.8
2050,wind,max,2789.2
