period,category,bound,gwh
2030,fossil,min,2065.5
2030,usolar,min,2103.1
2030,usolar,max,2188.9
2030,wind,min,262.4
2030,wind,max,273.1
2035,fossil,min,1296.8
2035,fossil,max,1433.3
2035,usolar,min,1931.0
2035,usolar,max,2009.8
2035,offshore,min,2000.3
2035,wind,min,2308.7
2035,wind,max,2402.9
2040,fossil,min,888.5
2040,fossil,max,982.1
2040,usolar,min,1786.5
2040,usolar,max,1859.5
2040,offshore,min,1854.4
2040,wind,min,2335.5
2040,wind,max,2430.8
2045,usolar,min,2033.7
2045,usolar,max,2116.7
2045,offshore,min,2126.9
2045,wind,min,2684.1
2045,wind,max,2793.7
2050,usolar,min,2028.0
2050,usolar,max,2110.8
2050,offshore,min,2120.9
2050,wind,min,2676.6
2050,wind,max,2785.9
