period,category,bound,gwh
2030,fossil,min,1844.0
2030,fossil,max,2038.1
2030,usolar,min,4207.9
2030,usolar,max,4379.6
2030,wind,min,263.5
2030,wind,max,274.3
2035,fossil,min,548.2
2035,fossil,max,605.9
2035,usolar,min,3646.5
2035,usolar,max,3795.3
2035,offshore,min,1983.6
2035,wind,min,2177.8
2035,wind,max,2266.7
2040,fossil,min,267.2
2040,fossil,max,295.3
2040,usolar,min,4125.7
2040,usolar,max,4294.1
2040,offshore,min,1981.0
2040,wind,min,1981.0
2040,wind,max,2061.9
2045,usolar,min,4579.9
2045,usolar,max,4766.9
2045,offshore,min,1889.4
2045,wind,min,1967.8
2045,wind,max,2048.1
2050,usolar,min,4694.6
2050,usolar,max,4886.2
2050,offshore,min,1936.7
2050,wind,min,2017.1
2050,wind,max,2099.4
