period,category,bound,gwh
2030,fossil,min,2145.6
2030,usolar,min,2184.7
2030,usolar,max,2273.9
2030,wind,min,272.6
2030,wind,max,283.7
2035,fossil,min,1415.7
2035,fossil,max,1564.7
2035,usolar,min,2108.0
2035,usolar,max,2194.0
2035,offshore,min,2183.7
2035,wind,min,2520.3
2035,wind,max,2623.2
2040,fossil,min,1011.7
2040,fossil,max,1118.2
2040,usolar,min,2034.1
2040,usolar,max,2117.1
2040,offshore,min,2111.4
2040,wind,min,2659.1
2040,wind,max,2767.7
2045,usolar,min,2401.4
2045,usolar,max,2499.4
2045,offshore,min,2511.5
2045,wind,min,3169.4
2045,wind,max,3298.8
2050,usolar,min,2461.5
2050,usolar,max,2562.0
2050,offshore,min,2574.3
2050,wind,min,3248.8
2050,wind,max,3381.4
