atb_vintage,dollar_year,technology,target_year,metric,pv_basis,value_native,value_2024usd,headline
2020,2018,Battery_4hr,2030,CAPEX,,817.2329342384899,1020.9651015720659,False
2021,2019,Battery_4hr,2030,CAPEX,,784.093821701792,962.1192150305639,True
2022,2020,Battery_4hr,2030,CAPEX,,894.6921165618743,1084.2442422861623,True
2023,2021,Battery_4hr,2030,OCC,,1203.8451294059337,1393.65844347733,True
2024,2022,Battery_4hr,2030,CAPEX,,1451.3156212180554,1555.8248677317176,True
2024,2022,Battery_4hr,2030,OCC,,1300.1527397584086,1393.7767462793233,True
2020,2018,Battery_4hr,2050,CAPEX,,612.9247006788676,765.7238261790496,False
2021,2019,Battery_4hr,2050,CAPEX,,588.0703662763439,721.5894112729228,True
2022,2020,Battery_4hr,2050,CAPEX,,671.4638174208665,813.722133530963,True
2023,2021,Battery_4hr,2050,OCC,,832.6462263289815,963.9316681254177,True
2024,2022,Battery_4hr,2050,CAPEX,,1035.7717370242874,1110.3576659662672,True
2024,2022,Battery_4hr,2050,OCC,,899.2579244353,964.0134929210144,True
2019,2017,UtilityPV,2030,CAPEX,DC,860.0906966952957,1100.7165088748857,False
2020,2018,UtilityPV,2030,CAPEX,AC,836.384278464047,1044.890782101213,True
2021,2019,UtilityPV,2030,CAPEX,AC,775.9106129353577,952.0780411596807,True
2022,2020,UtilityPV,2030,CAPEX,AC,754.39660710637,914.2253100413127,True
2023,2021,UtilityPV,2030,CAPEX,AC,1038.4351943818024,1202.1679045778826,True
2023,2021,UtilityPV,2030,OCC,AC,1002.2404283819116,1160.2662180458897,False
2024,2022,UtilityPV,2030,CAPEX,AC,1193.4809439770536,1279.4235138494657,True
2024,2022,UtilityPV,2030,OCC,AC,1043.7023517333355,1118.8593642876706,False
2019,2017,UtilityPV,2050,CAPEX,DC,682.0623851353727,872.881581309623,False
2020,2018,UtilityPV,2050,CAPEX,AC,687.7912886590459,859.2542878126856,True
2021,2019,UtilityPV,2050,CAPEX,AC,637.6300555957987,782.4014315509337,True
2022,2020,UtilityPV,2050,CAPEX,AC,619.9502139953221,751.2947052797871,True
2023,2021,UtilityPV,2050,CAPEX,AC,632.4695435744817,732.1926202249956,True
2023,2021,UtilityPV,2050,OCC,AC,610.4247522812087,706.6719707908559,False
2024,2022,UtilityPV,2050,CAPEX,AC,682.8963556917138,732.0717263256828,True
2024,2022,UtilityPV,2050,OCC,AC,559.2754027340927,599.5488278105139,False
