scenario,matched_gap,old_npv,new_npv,delta_usd,delta_pct
nlv2a_C1_LSFO250_refbrent,0.001,24423687812.48,25429470720.21,1005782907.73,4.1181
nlv2a_C4_NOTHERMAL_refbrent,0.001,23920742778.16,24962179263.12,1041436484.96,4.3537
nlv2a_C5_LNG375_highbrent,0.001,26112040344.83,27148533638.26,1036493293.43,3.9694
nlv2a_C5_LNG375_lowbrent,0.001,20860125812.97,21584096102.26,723970289.29,3.4706
nlv2a_C5_LNG375_refbrent,0.001,24384065796.70,25309343697.56,925277900.86,3.7946
nlv2a_be_pv15_C4_NOTHERMAL_refbrent,0.001,25601855217.97,26851785381.14,1249930163.17,4.8822
nlv2a_be_pv17_C4_NOTHERMAL_refbrent,0.001,26186020173.43,27508938298.53,1322918125.10,5.0520
nlv2a_plan_igp_alt_xf_hybrid_refbrent,0.0025,26124973070.81,27120409978.23,995436907.42,3.8103
nlv2a_plan_igp_pref_hybrid_refbrent,0.0025,26476178478.69,27705737546.67,1229559067.97,4.6440
nlv2a_plan_igp_pref_pv15_hybrid_refbrent,0.0025,27545355321.34,28770943316.06,1225587994.72,4.4493
nlv2a_plan_igp_pref_pv17_hybrid_refbrent,0.0025,27934346499.91,29223655285.35,1289308785.44,4.6155
nlv2b_C1_LSFO250_futbrent,0.001,24766262521.16,25005094611.62,238832090.47,0.9643
nlv2b_C1_LSFO250_futbrent_adv,0.001,23905879415.04,23641633083.93,-264246331.11,-1.1054
nlv2b_C1_LSFO250_highbrent,0.001,27927168350.15,28213384828.07,286216477.92,1.0249
nlv2b_C1_LSFO250_highbrent_adv,0.001,27263910972.92,26513958501.30,-749952471.61,-2.7507
nlv2b_C1_LSFO250_lowbrent,0.001,21812793817.42,21999893719.43,187099902.02,0.8578
nlv2b_C1_LSFO250_lowbrent_adv,0.001,20674306851.51,20823933813.42,149626961.91,0.7237
nlv2b_C1_LSFO250_refbrent,0.001,26267942090.42,26530930230.83,262988140.40,1.0012
