scenario,total_cost_npv,mipgap,solved_at_hst
C1_LSFO250_highbrent,28634805977.84,0.001,2026-07-17 13:16
C1_LSFO250_highbrent,28673246281.24,0.0025,2026-07-16 15:28
C1_LSFO250_highbrent_adv,26937269469.19,0.001,2026-07-18 14:59
C1_LSFO250_highbrent_adv,26958168978.63,0.0025,2026-07-16 15:00
C1_LSFO250_lowbrent,27407729252.02,0.001,2026-07-17 14:42
C1_LSFO250_lowbrent,27434012877.45,0.0025,2026-07-16 15:04
C1_LSFO250_lowbrent_adv,25976472034.19,0.001,2026-07-18 16:57
C1_LSFO250_lowbrent_adv,26011259396.40,0.0025,2026-07-16 14:54
C1_LSFO250_refbrent,27945728927.04,0.001,2026-07-17 12:47
C1_LSFO250_refbrent,27985886228.62,0.0025,2026-07-16 16:25
C1_LSFO250_refbrent_adv,26437850895.92,0.001,2026-07-18 06:47
C1_LSFO250_refbrent_adv,26462200868.43,0.0025,2026-07-16 15:21
C2_LSFO375_highbrent,28934489658.19,0.001,2026-07-17 12:52
C2_LSFO375_highbrent,28972016047.93,0.0025,2026-07-16 15:35
C2_LSFO375_highbrent_adv,27295566057.03,0.001,2026-07-18 15:12
C2_LSFO375_highbrent_adv,27304729823.60,0.0025,2026-07-16 15:15
C2_LSFO375_lowbrent,27614947211.95,0.001,2026-07-18 09:35
C2_LSFO375_lowbrent,27638808259.81,0.0025,2026-07-16 17:03
C2_LSFO375_lowbrent_adv,26239485563.07,0.001,2026-07-18 15:31
C2_LSFO375_lowbrent_adv,26265877505.09,0.0025,2026-07-16 15:00
C2_LSFO375_refbrent,28176007094.85,0.001,2026-07-17 15:00
C2_LSFO375_refbrent,28206120468.06,0.0025,2026-07-16 16:43
C2_LSFO375_refbrent_adv,26746454312.44,0.001,2026-07-18 06:57
C2_LSFO375_refbrent_adv,26786693519.93,0.0025,2026-07-16 15:39
C3_LSFO500_highbrent,29282097286.08,0.001,2026-07-17 15:41
C3_LSFO500_highbrent,29323057492.04,0.0025,2026-07-16 15:41
C3_LSFO500_highbrent_adv,27682349542.95,0.001,2026-07-18 05:08
C3_LSFO500_highbrent_adv,27697870722.21,0.0025,2026-07-16 15:18
C3_LSFO500_lowbrent,27922888833.87,0.001,2026-07-17 18:33
C3_LSFO500_lowbrent,27937381656.89,0.0025,2026-07-16 15:58
C3_LSFO500_lowbrent_adv,26598471358.38,0.001,2026-07-18 05:13
C3_LSFO500_lowbrent_adv,26621263796.59,0.0025,2026-07-16 15:15
C3_LSFO500_refbrent,28489331442.34,0.001,2026-07-17 14:45
C3_LSFO500_refbrent,28528023892.60,0.0025,2026-07-16 16:43
C3_LSFO500_refbrent_adv,27113760343.79,0.001,2026-07-18 07:02
C3_LSFO500_refbrent_adv,27149023442.97,0.0025,2026-07-16 15:45
C4_NOTHERMAL_highbrent,28276278312.08,0.001,2026-07-18 11:20
C4_NOTHERMAL_highbrent,28310120809.36,0.0025,2026-07-16 15:20
C4_NOTHERMAL_highbrent_adv,26399196711.72,0.001,2026-07-18 06:07
C4_NOTHERMAL_highbrent_adv,26434390077.63,0.0025,2026-07-16 15:26
C4_NOTHERMAL_lowbrent,27257455187.46,0.001,2026-07-17 13:53
C4_NOTHERMAL_lowbrent,27289831878.23,0.0025,2026-07-16 15:36
C4_NOTHERMAL_lowbrent_adv,25636300495.49,0.001,2026-07-18 05:38
C4_NOTHERMAL_lowbrent_adv,25665966721.95,0.0025,2026-07-16 15:18
C4_NOTHERMAL_refbrent,27722149165.18,0.001,2026-07-18 11:19
C4_NOTHERMAL_refbrent,27758238800.96,0.0025,2026-07-16 16:39
C4_NOTHERMAL_refbrent_adv,25980722200.09,0.001,2026-07-18 11:56
C4_NOTHERMAL_refbrent_adv,26017097741.87,0.0025,2026-07-16 15:44
C5_LNG375_highbrent,28049110931.07,0.001,2026-07-17 12:53
C5_LNG375_highbrent,28082186823.55,0.0025,2026-07-16 16:18
C5_LNG375_highbrent_adv,26624936549.75,0.001,2026-07-18 05:57
C5_LNG375_highbrent_adv,26647946176.84,0.0025,2026-07-16 15:07
C5_LNG375_highbrent_j120,28393965312.20,0.001,2026-07-18 10:23
C5_LNG375_highbrent_j120,28434093576.71,0.0025,2026-07-16 14:55
C5_LNG375_highbrent_j120_adv,26968696427.09,0.001,2026-07-18 10:21
C5_LNG375_highbrent_j120_adv,26979279285.82,0.0025,2026-07-16 16:18
C5_LNG375_lowbrent,26833736557.77,0.001,2026-07-17 16:31
C5_LNG375_lowbrent,26847529926.89,0.0025,2026-07-16 16:37
C5_LNG375_lowbrent_adv,25484214015.46,0.001,2026-07-18 05:54
C5_LNG375_lowbrent_adv,25507785649.91,0.0025,2026-07-16 15:27
C5_LNG375_lowbrent_j120,27187291438.22,0.001,2026-07-18 12:34
C5_LNG375_lowbrent_j120,27221650729.68,0.0025,2026-07-16 14:58
C5_LNG375_lowbrent_j120_adv,25829908405.70,0.001,2026-07-18 10:16
C5_LNG375_lowbrent_j120_adv,25862864282.54,0.0025,2026-07-16 16:23
C5_LNG375_refbrent,27337586409.44,0.001,2026-07-17 15:12
C5_LNG375_refbrent,27356959397.74,0.0025,2026-07-16 17:24
C5_LNG375_refbrent_adv,25952770148.25,0.001,2026-07-18 07:39
C5_LNG375_refbrent_adv,25974031742.30,0.0025,2026-07-16 15:50
C5_LNG375_refbrent_j120,27682026540.88,0.001,2026-07-18 13:30
