cluster_id,slope_category,capacity_limit_mw,connect_cost_per_mw,mean_capacity_factor,screened_acres_5acmw,built_mw_basecase,built_acres_5acmw
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_01,Flat,313.29,32050.0,0.2635,1566.0,313.29,1566.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_02,Flat,248.87,27107.0,0.263,1244.0,248.87,1244.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_03,Flat,68.97,22643.0,0.2561,345.0,68.97,345.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_04,Flat,70.72,16132.0,0.2732,354.0,70.72,354.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_05,Flat,47.02,10304.0,0.284,235.0,47.02,235.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_06,Flat,5.86,754.0,0.2139,29.0,5.86,29.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_07,Flat,276.12,10789.0,0.2564,1381.0,276.12,1381.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_08,Flat,318.14,17947.0,0.2575,1591.0,318.14,1591.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_09,Flat,275.15,36275.0,0.2645,1376.0,275.15,1376.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_10,Flat,338.98,25484.0,0.2533,1695.0,338.98,1695.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_11,Flat,186.18,32396.0,0.264,931.0,186.19,931.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_12,Flat,118.98,36774.0,0.2749,595.0,118.98,595.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_13,Flat,248.99,35871.0,0.2643,1245.0,248.99,1245.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_14,Flat,41.51,25351.0,0.2134,208.0,41.51,208.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_15,Flat,218.65,13214.0,0.2102,1093.0,218.65,1093.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_16,Flat,153.59,20038.0,0.2339,768.0,153.59,768.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_17,Flat,10.15,25211.0,0.2108,51.0,10.15,51.0
Oahu_CentralTrackingPV_Reference_wSlope_Flat_PV_18,Flat,0.28,15601.0,0.1476,1.0,0.0,0.0
Oahu_CentralTrackingPV_Reference_wSlope_Moderate_PV_01,Moderate,85.6,30942.0,0.2513,428.0,85.6,428.0
