,atb_year,core_metric_key,core_metric_parameter,core_metric_case,tax_credit_case,crpyears,technology,technology_alias,techdetail,techdetail2,resourcedetail,display_name,default,scale,maturity,scenario,core_metric_variable,units,value
5415,2024,106950,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Advanced,2026,,706.2682223492012
5416,2024,106951,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Moderate,2026,,906.62292575297
5417,2024,106952,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Conservative,2026,,1138.4739661510175
5418,2024,106953,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Advanced,2026,,1189.0105164565407
5419,2024,106954,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Moderate,2026,,1500.8959153232563
5420,2024,106955,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Conservative,2026,,1909.505687731868
5421,2024,106956,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Advanced,2026,,1671.7528105638803
5422,2024,106957,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Moderate,2026,,2095.168904893543
5423,2024,106958,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Conservative,2026,,2680.537409312719
5424,2024,106959,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Advanced,2026,,2154.49510467122
5426,2024,106960,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Moderate,2026,,2689.4418944638296
5427,2024,106961,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Conservative,2026,,3451.5691308935698
5428,2024,106962,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Advanced,2026,,2637.237398778559
5429,2024,106963,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Moderate,2026,,3283.7148840341165
5430,2024,106964,OCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Conservative,2026,,4222.600852474421
5431,2024,106965,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Advanced,2026,,100.0
5432,2024,106966,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Moderate,2026,,100.0
5433,2024,106967,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Conservative,2026,,100.0
5434,2024,106968,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Advanced,2026,,100.0
5435,2024,106969,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Moderate,2026,,100.0
5437,2024,106970,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Conservative,2026,,100.0
5438,2024,106971,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Advanced,2026,,100.0
5439,2024,106972,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Moderate,2026,,100.0
5440,2024,106973,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Conservative,2026,,100.0
5441,2024,106974,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Advanced,2026,,100.0
5442,2024,106975,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Moderate,2026,,100.0
5443,2024,106976,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Conservative,2026,,100.0
5444,2024,106977,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Advanced,2026,,100.0
5445,2024,106978,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Moderate,2026,,100.0
5446,2024,106979,GCC,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Conservative,2026,,100.0
5448,2024,106980,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Advanced,2026,,17.65670555873003
5449,2024,106981,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Moderate,2026,,22.665573143824247
5450,2024,106982,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,2Hr Battery Storage,Lithium Ion - 2 Hr,,Utility-Scale Battery Storage - 2Hr,0,Utility,Y,Conservative,2026,,28.46184915377544
5451,2024,106983,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Advanced,2026,,29.72526291141352
5452,2024,106984,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Moderate,2026,,37.52239788308142
5453,2024,106985,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,4Hr Battery Storage,Lithium Ion - 4 Hr,,Utility-Scale Battery Storage - 4Hr,1,Utility,Y,Conservative,2026,,47.73764219329671
5454,2024,106986,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Advanced,2026,,41.79382026409701
5455,2024,106987,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Moderate,2026,,52.37922262233858
5456,2024,106988,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,6Hr Battery Storage,Lithium Ion - 6 Hr,,Utility-Scale Battery Storage - 6Hr,0,Utility,Y,Conservative,2026,,67.01343523281797
5457,2024,106989,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Advanced,2026,,53.8623776167805
5459,2024,106990,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Moderate,2026,,67.23604736159574
5460,2024,106991,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,8Hr Battery Storage,Lithium Ion - 8 Hr,,Utility-Scale Battery Storage - 8Hr,0,Utility,Y,Conservative,2026,,86.28922827233924
5461,2024,106992,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Advanced,2026,,65.93093496946398
5462,2024,106993,Fixed O&M,Market,,20,Utility-Scale Battery Storage,Utility-Scale Battery Storage,10Hr Battery Storage,Lithium Ion - 10 Hr,,Utility-Scale Battery Storage - 10Hr,0,Utility,Y,Moderate,2026,,82.09287210085292
