plant_id_eia,plant_name_eia,state,generator_id,capacity_mw,generator_operating_date,plant_id_epa,emissions_unit_id_epa
117,West Phoenix,AZ,C5-1,184.5,2003-08-01,117,CC5A
117,West Phoenix,AZ,C5-2,184.5,2003-08-01,117,CC5B
147,Kyrene,AZ,KY7,170.0,2002-10-01,147,K-7
260,Dynegy Moss Landing Power Plant Hybrid,CA,CT1A,233.0,2002-07-01,260,1A
260,Dynegy Moss Landing Power Plant Hybrid,CA,CT1B,233.0,2002-07-01,260,2A
260,Dynegy Moss Landing Power Plant Hybrid,CA,CT2A,233.0,2002-07-01,260,3A
260,Dynegy Moss Landing Power Plant Hybrid,CA,CT2B,233.0,2002-07-01,260,4A
358,Mountainview Generating Station,CA,MV3A,164.6,2005-12-01,358,3-1
358,Mountainview Generating Station,CA,MV3B,164.6,2005-12-01,358,3-2
358,Mountainview Generating Station,CA,MV4A,164.6,2006-01-01,358,4-1
358,Mountainview Generating Station,CA,MV4B,164.6,2006-01-01,358,4-2
400,Haynes,CA,10,182.8,2005-01-01,400,10
400,Haynes,CA,9,182.8,2005-01-01,400,9
404,Scattergood,CA,4,216.9,2015-10-01,404,4
408,Valley (CA),CA,6,182.8,2003-09-01,408,6
408,Valley (CA),CA,7,182.8,2003-09-01,408,7
469,Cherokee,CO,5,185.3,2015-08-01,469,5
469,Cherokee,CO,6,185.3,2015-08-01,469,6
533,McWilliams,AL,VAN1,165.0,2002-01-01,533,**V1
533,McWilliams,AL,VAN2,165.0,2002-01-01,533,**V2
564,Stanton Energy Center,FL,B1,203.2,2010-02-01,564,CCB
620,Sanford,FL,4A,188.2,2002-12-01,620,SNCT4A
620,Sanford,FL,4B,188.2,2002-12-01,620,SNCT4B
620,Sanford,FL,4C,188.2,2002-12-01,620,SNCT4C
620,Sanford,FL,4D,188.2,2003-01-01,620,SNCT4D
620,Sanford,FL,5A,188.2,2002-05-01,620,SNCT5A
620,Sanford,FL,5B,188.2,2002-05-01,620,SNCT5B
620,Sanford,FL,5C,188.2,2002-05-01,620,SNCT5C
620,Sanford,FL,5D,188.2,2002-05-01,620,SNCT5D
621,Turkey Point,FL,5CTA,188.0,2007-05-01,621,TPCT5A
621,Turkey Point,FL,5CTB,188.0,2007-05-01,621,TPCT5B
621,Turkey Point,FL,5CTC,188.0,2007-05-01,621,TPCT5C
621,Turkey Point,FL,5CTD,188.0,2007-05-01,621,TPCT5D
