year,avg_mw,peak_mw,energy_gwh,hours
2006,957.7,1312.0,8389.4,8760
2007,954.9,1248.9,8365.0,8760
2008,935.3,1223.5,8215.4,8784
2009,914.8,1252.1,8013.2,8760
2010,905.6,1190.9,7933.0,8760
2011,898.3,1174.4,7869.5,8760
2012,861.1,1159.4,7563.8,8784
2013,846.8,1161.6,7418.2,8760
2014,835.0,1189.9,7314.4,8760
2015,832.3,1235.9,7291.3,8760
2016,814.3,1205.9,7153.2,8784
2017,803.0,1196.6,7033.9,8760
2018,799.3,1224.1,7002.3,8760
2019,801.4,1210.3,7020.5,8760
2020,757.3,1109.8,6652.1,8784
2021,756.3,1097.5,6624.8,8759
2022,764.7,1105.0,6698.8,8760
2023,758.0,1082.1,6640.3,8760
2024,754.3,1076.3,6626.0,8784
