,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Base is based on NREL Conservative Load Forecast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OIL,," 4,563.1 "," 4,212.5 "," 3,820.8 "," 3,707.6 "," 3,646.4 "," 3,414.3 "," 3,318.7 "," 2,242.1 "," 1,663.0 ", 190.6 , 167.2 , 106.7 , 69.6 , 171.1 , 243.4 , 116.7 , 131.1 , 96.6 , 115.5 , 76.7 , 78.5 , 76.3 , 60.1 , - , - , - , - , - , - ,,,,
,,GAS_CCGT,, - , - , - , - , - , - , - , 367.9 , 756.2 ," 1,717.1 "," 1,781.6 "," 1,742.5 "," 1,579.8 "," 1,665.9 "," 1,725.3 "," 2,078.4 "," 2,175.0 "," 2,128.6 "," 2,356.2 "," 2,566.3 "," 3,353.5 "," 3,335.6 "," 3,099.2 ", - , - , - , - , - , - ,,,,
,,GAS_OCGT,, - , - , - , - , - , - , - , - , - , 211.0 , 136.5 , 131.0 , 112.9 , 118.8 , 123.7 , 118.9 , 99.8 , 86.8 , 87.4 , 76.4 , 103.8 , 103.7 , 66.6 , - , - , - , - , - , - ,,,,
,,HYDROGEN,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 3,440.3 "," 3,120.6 "," 3,133.3 "," 3,638.2 "," 3,350.2 "," 3,294.0 ",,,,
,,SOLAR,, 454.2 , 647.8 , 877.9 , 916.8 , 926.3 ," 1,137.5 "," 1,223.4 "," 1,394.7 "," 1,659.9 "," 1,603.0 "," 1,651.2 "," 1,637.0 "," 1,624.2 "," 1,599.8 "," 1,739.6 "," 2,020.4 "," 2,213.6 "," 2,385.2 "," 2,550.9 "," 2,628.0 "," 2,780.0 "," 2,999.6 "," 3,193.0 "," 3,302.3 "," 3,371.7 "," 3,613.0 "," 3,868.6 "," 3,977.9 "," 4,279.5 ",,,,
,,Rooftop solar,," 1,098.3 "," 1,261.7 "," 1,445.7 "," 1,530.9 "," 1,599.3 "," 1,700.4 "," 1,768.3 "," 1,829.2 "," 1,893.6 "," 1,946.6 "," 2,028.6 "," 2,066.2 "," 2,103.6 "," 2,137.5 "," 2,192.0 "," 2,236.7 "," 2,258.1 "," 2,284.1 "," 2,308.0 "," 2,327.8 "," 2,367.3 "," 2,389.4 "," 2,399.0 "," 2,421.2 "," 2,434.2 "," 2,499.1 "," 2,520.4 "," 2,516.8 "," 2,535.8 ",,,,
,,GEOTHERMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIND,, 472.0 , 470.7 , 468.9 , 469.5 , 466.3 , 464.6 , 448.8 ," 1,036.2 "," 1,042.5 "," 1,061.4 "," 1,000.2 "," 1,001.1 ", 985.8 , 978.6 ," 1,003.4 ", 967.0 , 879.6 , 926.7 , 922.0 , 924.9 , 881.5 , 905.0 , 904.2 , 907.4 , 896.1 , 932.0 , 910.4 , 913.0 , 886.0 ,,,,
,,OFFSHORE_WIND,, - , - , - , - , - , - , - , - , - , 451.8 , 748.4 ," 1,093.0 "," 1,599.2 "," 1,753.5 "," 1,743.0 "," 1,778.2 "," 1,907.9 "," 2,100.2 "," 1,987.1 "," 1,990.5 "," 1,421.6 "," 1,422.7 "," 1,721.6 "," 1,594.9 "," 2,052.5 "," 2,049.4 "," 1,451.8 "," 1,806.7 "," 1,726.3 ",,,,
,,HYDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BATTERY,, - , 64.9 , 176.4 , 186.2 , 195.1 , 207.6 , 207.8 , 479.3 , 789.9 , 899.8 , 942.7 , 983.8 ," 1,037.4 "," 1,147.1 "," 1,106.9 "," 1,166.3 "," 1,201.2 "," 1,261.9 "," 1,338.8 "," 1,308.0 "," 1,347.2 "," 1,388.2 "," 1,369.6 "," 1,361.2 "," 1,525.8 "," 1,600.2 "," 1,554.1 "," 1,684.6 "," 1,780.1 ",,,,
,,80NAPTHTHA 20BIODIESEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIOMASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIODIESEL,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 7.1 , 14.2 , 6.7 , 6.3 , 13.9 , 13.6 ,,,,
,,BIOGAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REFUSE,, 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 ,,,,
,,LOAD,," 7,169.6 "," 7,239.6 "," 7,373.3 "," 7,393.2 "," 7,415.5 "," 7,506.5 "," 7,550.6 "," 7,931.5 "," 8,387.2 "," 8,663.3 "," 9,040.0 "," 9,343.3 "," 9,694.6 "," 10,154.3 "," 10,460.9 "," 11,064.7 "," 11,448.4 "," 11,852.2 "," 12,249.7 "," 12,480.7 "," 12,915.5 "," 13,202.6 "," 13,396.8 "," 13,616.3 "," 13,999.2 "," 14,416.6 "," 14,537.2 "," 14,853.1 "," 15,109.3 ",,,,
,,Total,," 7,169.6 "," 7,168.1 "," 7,177.9 "," 7,186.9 "," 7,199.4 "," 7,276.5 "," 7,319.7 "," 7,400.2 "," 7,510.9 "," 7,660.9 "," 7,988.1 "," 8,239.9 "," 8,528.4 "," 8,860.8 "," 9,214.5 "," 9,749.7 "," 10,090.9 "," 10,418.5 "," 10,732.9 "," 10,997.6 "," 11,384.6 "," 11,623.3 "," 11,841.1 "," 12,068.1 "," 12,261.9 "," 12,592.7 "," 12,768.0 "," 12,929.6 "," 13,071.7 ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Generation (GWh) - reordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oil  ,," 4,563.1 "," 4,212.5 "," 3,820.8 "," 3,707.6 "," 3,646.4 "," 3,414.3 "," 3,318.7 "," 2,242.1 "," 1,663.0 ", 190.6 , 167.2 , 106.7 , 69.6 , 171.1 , 243.4 , 116.7 , 131.1 , 96.6 , 115.5 , 76.7 , 78.5 , 76.3 , 60.1 , - , - , - , - , - , - ,,,,
