Year,OIL,REFUSE,BIODIESEL,SOLAR,WIND,BATTERY,GEOTHERMAL,80NAPTHTHA 20BIODIESEL,OFFSHORE_WIND,BIOMASS,BIOGAS,HYDRO,Pumped Storage Hydro,CCGT: NG/RNG,GAS_OCGT,GAS_CCGT,CCGT with CCS (90% capture),HYDROGEN,Future_4HR_BATTERY,Future Solar,Future Onshore Wind,Future Offshore Wind,FUTURE BIODIESEL NAPHTHA,Future Biodiesel,Future Biomass,Future Hydrogen CCGT,Future Refuse,Future LNG CCGT,Future LNG OCGT,Future OIL,LNG Terminal,Future Biogas,Future_Hawaii_4HR_BATTERY,Future Hawaii Solar,Future Hawaii Onshore Wind,Future Hawaii Offshore Wind,FUTURE Hawaii BIODIESEL NAPHTHA,Future Hawaii Biodiesel,Future Hawaii Biomass,Future Hawaii LNG CCGT,Future Hawaii Hydrogen CCGT,Future Hawaii Refuse,Future Hawaii LNG CCGT,Future Hawaii LNG OCGT,Future Hawaii OIL,Future Hawaii Biogas,Future_Maui_4HR_BATTERY,Future Maui Solar,Future Maui Onshore Wind,Future Maui Offshore Wind,FUTURE Maui BIODIESEL NAPHTHA,Future Maui Biodiesel,Future Maui Biomass,Future Maui LNG CCGT,Future Maui Hydrogen CCGT,Future Maui Refuse,Future Maui LNG CCGT,Future Maui LNG OCGT,Future Maui OIL,Future Maui Biogas,2HR_BTM_BATTERY,Future converted Hydrogen CCGT
2020,2869.067796,4579.359329,1445.424869,3000,3000,1993.157965,6380,1445.424869,2995,6106,1919,2240,2189,1879,1240.2,1879,2891,1879,1328.771977,1192,925,2995,954,954,6106,1879,1908,1879,1240.2,1272,300,1879,1328.771977,1192,925,2995,954,954,6106,1879,1879,1908,1879,1240.2,1272,1879,1328.771977,1192,925,2995,954,954,6106,1879,1879,1908,1879,1240.2,1272,1879,1,1879
2021,2869.067796,4579.359329,1445.424869,3000,3000,1993.157965,6380,1445.424869,2995,6106,1919,2240,2189,1879,1272.338278,1879,2891,1879.05233,1328.771977,1191.731025,925.4126592,2995.300298,1445.424869,1445.424869,4579.359329,1879.05233,4579.359329,1445.424869,1272.338278,1445.424869,300,1879,1328.771977,1191.731025,925.4126592,2995.300298,1445.424869,1445.424869,4579.359329,1445.424869,1879.05233,4579.359329,1445.424869,1272.338278,1445.424869,1879,1328.771977,1191.731025,925.4126592,2995.300298,1445.424869,1445.424869,4579.359329,1445.424869,1879.05233,4579.359329,1445.424869,1272.338278,1445.424869,1879,1,1879.05233
2022,2869.067796,4671.332653,1445.424869,3000,3000,1993.157965,6380,1445.424869,2995,6106,1919,2240,2189,1879,1295.746102,1879,2952,1918.760714,1273.286156,1146.062525,915.9123013,2928.20439,1295.746102,1295.746102,4671.332653,1918.760714,4671.332653,1475.96978,1295.746102,1295.746102,300,1919,1273.286156,1146.062525,915.9123013,2928.20439,1295.746102,1295.746102,4671.332653,1475.96978,1918.760714,4671.332653,1475.96978,1295.746102,1295.746102,1919,1273.286156,1146.062525,915.9123013,2928.20439,1295.746102,1295.746102,4671.332653,1475.96978,1918.760714,4671.332653,1475.96978,1295.746102,1295.746102,1919,1,1918.760714
2023,1298.8865,4748.582575,1298.8865,1156.952448,905.4679545,1214.49645,4913.662064,1298.8865,2889.068926,4748.582575,1941,2292,2292.025703,1492.845071,1298.8865,1492.845071,2986,1940.698592,1214.49645,1156.952448,905.4679545,2889.068926,1298.8865,1298.8865,4748.582575,1940.698592,4748.582575,1492.845071,1298.8865,1298.8865,300,1941,1214.49645,1156.952448,905.4679545,2889.068926,1298.8865,1298.8865,4748.582575,1492.845071,1940.698592,4748.582575,1492.845071,1298.8865,1298.8865,1941,1214.49645,1156.952448,905.4679545,2889.068926,1298.8865,1298.8865,4748.582575,1492.845071,1940.698592,4748.582575,1492.845071,1298.8865,1298.8865,1941,1,1940.698592
2024,1314.48548,4856.471053,1314.48548,1102.860729,1132.099017,1152.279095,4978.594076,1314.48548,2867.642673,4856.471053,1977,2345,2345.388382,1521.093965,1314.48548,1521.093965,3042,1977.422154,1152.279095,1102.860729,1132.099017,2867.642673,1314.48548,1314.48548,4856.471053,1977.422154,4856.471053,1521.093965,1314.48548,1314.48548,300,1977,1152.279095,1102.860729,1132.099017,2867.642673,1314.48548,1314.48548,4856.471053,1521.093965,1977.422154,4856.471053,1521.093965,1314.48548,1314.48548,1977,1152.279095,1102.860729,1132.099017,2867.642673,1314.48548,1314.48548,4856.471053,1521.093965,1977.422154,4856.471053,1521.093965,1314.48548,1314.48548,1977,1,1977.422154
2025,1340.095037,4969.480771,1340.095037,1045.623175,1116.33388,1086.506351,5043.886136,1340.095037,2858.522862,4969.480771,2023,2400,2399.993445,1556.5079,1340.095037,1556.5079,3113,2023.46027,1086.506351,1045.623175,1116.33388,2858.522862,1340.095037,1340.095037,4969.480771,2023.46027,4969.480771,1556.5079,1340.095037,1340.095037,300,2023,1086.506351,1045.623175,1116.33388,2858.522862,1340.095037,1340.095037,4969.480771,1556.5079,2023.46027,4969.480771,1556.5079,1340.095037,1340.095037,2023,1086.506351,1045.623175,1116.33388,2858.522862,1340.095037,1340.095037,4969.480771,1556.5079,2023.46027,4969.480771,1556.5079,1340.095037,1340.095037,2023,1,2023.46027
2026,1361.074143,5058.834715,1361.074143,1136.679948,1099.221009,1071.831478,5109.519812,1361.074143,2858.52466,5058.834715,2062,2456,2455.869817,1585.93245,1361.074143,1585.93245,3172,2061.712185,1071.831478,1136.679948,1099.221009,2858.52466,1361.074143,1361.074143,5058.834715,2061.712185,5058.834715,1585.93245,1361.074143,1361.074143,300,2062,1071.831478,1136.679948,1099.221009,2858.52466,1361.074143,1361.074143,5058.834715,1585.93245,2061.712185,5058.834715,1585.93245,1361.074143,1361.074143,2062,1071.831478,1136.679948,1099.221009,2858.52466,1361.074143,1361.074143,5058.834715,1585.93245,2061.712185,5058.834715,1585.93245,1361.074143,1361.074143,2062,1,2061.712185
2027,1371.844931,5150.814674,1371.844931,1062.967107,1126.156455,1055.884351,5175.475621,1371.844931,2865.62084,5150.814674,2092,2513,2513.047096,1608.910891,1371.844931,1608.910891,3218,2091.584158,1055.884351,1062.967107,1126.156455,2865.62084,1371.844931,1371.844931,5150.814674,2091.584158,5150.814674,1608.910891,1371.844931,1371.844931,300,2092,1055.884351,1062.967107,1126.156455,2865.62084,1371.844931,1371.844931,5150.814674,1608.910891,2091.584158,5150.814674,1608.910891,1371.844931,1371.844931,2092,1055.884351,1062.967107,1126.156455,2865.62084,1371.844931,1371.844931,5150.814674,1608.910891,2091.584158,5150.814674,1608.910891,1371.844931,1371.844931,2092,1,2091.584158
2028,1393.081774,5242.707969,1393.081774,985.205785,1105.343715,1038.613684,5241.732985,1393.081774,2878.446824,5242.707969,2131,2572,2571.55557,1639.234507,1393.081774,1639.234507,3278,2131.00486,1038.613684,985.205785,1105.343715,2878.446824,1393.081774,1393.081774,5242.707969,2131.00486,5242.707969,1639.234507,1393.081774,1393.081774,300,2131,1038.613684,985.205785,1105.343715,2878.446824,1393.081774,1393.081774,5242.707969,1639.234507,2131.00486,5242.707969,1639.234507,1393.081774,1393.081774,2131,1038.613684,985.205785,1105.343715,2878.446824,1393.081774,1393.081774,5242.707969,1639.234507,2131.00486,5242.707969,1639.234507,1393.081774,1393.081774,2131,1,2131.00486
2029,1416.389125,5333.591878,1416.389125,903.2474253,1082.951427,1019.966491,5308.270195,1416.389125,2896.044327,5333.591878,2171,2631,2631.426232,1670.098002,1416.389125,1670.098002,3340,2171.127403,1019.966491,903.2474253,1082.951427,2896.044327,1416.389125,1416.389125,5333.591878,2171.127403,5333.591878,1670.098002,1416.389125,1416.389125,300,2171,1019.966491,903.2474253,1082.951427,2896.044327,1416.389125,1416.389125,5333.591878,1670.098002,2171.127403,5333.591878,1670.098002,1416.389125,1416.389125,2171,1019.966491,903.2474253,1082.951427,2896.044327,1416.389125,1416.389125,5333.591878,1670.098002,2171.127403,5333.591878,1670.098002,1416.389125,1416.389125,2171,1,2171.127403
