,PLEXOS Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,Plexos - main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aggressive,3.4714671639825,3.23630445081,2.96634093398249,2.94363242658,2.9537680910175,2.89615035813,2.47281962715649,1.98966367856,1.8902474018165,1.2571074803635,1.1950096156435,1.1476819242665,1.03855098915,1.1199364652125,1.252917831464,1.3275080651125,1.3168092492015,1.4353101757195,1.553446951058,1.569638060652,1.9583740862235,1.9504183787305,1.9996864626865,0,0,0,0,0,0
,Base,3.4223453442675,3.159368379825,2.86557622404,2.780710515075,2.73481355493,2.56075026321,2.48901752019,1.82871897867249,1.5497440928765,0.9141593998255,0.892623146831,0.829446480296,0.729274703286,0.8421844480715,0.9221214306355,0.9664915401905,1.008257097214,0.9585811627645,1.0640792401755,1.114621224095,1.441780136709,1.432981957956,1.3113638076475,0,0,0,0,0,0
,Conservative,3.4607221710825,3.2115856970475,2.9297418866175,2.8633890828375,2.8249448228475,2.6294937881775,2.405830421787,1.8673422242895,1.6968868915455,1.0521253117105,0.863772936180999,0.716861819777,0.6603542795805,0.667423475631,0.668033028255,0.8728942654735,0.697759378978,0.7820083948075,0.818913626912,0.7743364698335,0.9722529790505,0.9016617010705,0.964303803082,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Generation (no Dist. Solar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aggressive,6139.63643661,6009.92551814,5873.3926385,5872.93171035,5897.11636567,6109.28811723,6251.54233363,6454.43148654,6680.40434,6909.92108407,7294.94735566,7554.50798752,7842.86414108,8155.96467703,8485.46573887,9038.6974742,9384.85593206,9874.21845751,10339.81468506,10769.61368729,11299.31394567,11544.34899274,11778.05993825,11972.21347486,12127.68814036,12355.301609,12482.41743405,12619.83395775,12765.45427454
,Base,6071.37391395,5906.40551982,5732.21312584,5655.92707343,5600.06437451,5576.09761283,5551.37700958,5571.00600506,5617.27196603,5714.34735562,5959.51538574,6173.63282404,6424.78019658,6723.2570858,7022.5062053,7513.06136783,7832.84796773,8134.40652777,8424.88750138,8669.82477986,9017.23461337,9233.85705303,9442.08224983,9646.90379473,9827.68019144,10093.60515531,10247.51179153,10412.75079273,10535.8565534
,Conservative,6122.76996421,5976.64762953,5822.29098893,5757.8097271,5713.99033744,5688.47271373,5663.87976782,5656.83577887,5660.03117383,5662.78653929,5713.11383605,5750.19891489,5814.13774178,5909.70368302,6012.85091942,6188.07733907,6314.21304039,6464.7452679,6611.23325011,6774.27410336,7012.53411132,7173.22752548,7338.84392841,7509.7526756,7673.15139018,7898.20786884,8049.06537505,8218.2042025,8317.62147828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emisison intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aggressive,565.419011341211,538.493271013381,505.047272770115,501.22027153702,500.883467081102,474.056928165165,395.553528263582,308.263196024192,282.954040745459,181.927907000503,163.813329607693,151.920141743508,132.419862242697,137.315021528554,147.654574306354,146.869398926309,140.31214317346,145.35937015125,150.239341649186,145.746923355704,173.317963872839,168.950053394702,169.780632223851,0,0,0,0,0,
,Base,563.685484170904,534.905429236644,499.907480955722,491.645397646306,488.35394953282,459.23698633216,448.360382639246,328.256508252103,275.889097456639,159.97616926917,149.781163241374,134.353063088908,113.509673634314,125.264352875968,131.309450455104,128.641507485736,128.72164777969,117.842790311992,126.301893052127,128.563293076495,159.891607408246,155.187799608158,138.885022704723,0,0,0,0,0,
,Conservative,565.221654792158,537.355704421888,503.193999095521,497.305263381756,494.390899532592,462.249521181813,424.767212654479,330.103665244197,299.801686498002,185.796392714181,151.191269939442,124.667308103152,113.577336641896,112.936876606634,111.10087996651,141.060658689939,110.506150887633,120.965074786547,123.866999685478,114.305452956123,138.645026693138,125.698187861421,131.397235380494,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plexos - base vs no gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No gas - conservative,3.422345344275,3.1593683798475,2.865576224055,2.78071051506,2.73481355491499,2.560750263195,2.48901752019,1.9573119409425,1.81275532545,1.56153037244249,1.49433140835,1.3710832655175,1.203607886295,1.32014879091,1.42025627499,1.5478303214175,1.6467032082075,1.56976863769499,1.6312589131725,1.7264923736625,2.0952968337075,2.074456515735,1.93714321962,0,0,0,0,0,0
,Base,3.4223453442675,3.159368379825,2.86557622404,2.780710515075,2.73481355493,2.56075026321,2.48901752019,1.82871897867249,1.5497440928765,0.9141593998255,0.892623146831,0.829446480296,0.729274703286,0.8421844480715,0.9221214306355,0.9664915401905,1.008257097214,0.9585811627645,1.0640792401755,1.114621224095,1.441780136709,1.432981957956,1.3113638076475,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
