NAME,YEAR,Month,Day,Period,VALUE
Waiau 3,2022,1,1,1,25
Waiau 3,2023,1,1,1,25
Waiau 3,2024,1,1,1,0
Waiau 3,2025,1,1,1,0
Waiau 3,2026,1,1,1,0
Waiau 3,2027,1,1,1,0
Waiau 3,2028,1,1,1,0
Waiau 3,2029,1,1,1,0
Waiau 3,2030,1,1,1,0
Waiau 3,2031,1,1,1,0
Waiau 3,2032,1,1,1,0
Waiau 3,2033,1,1,1,0
Waiau 3,2034,1,1,1,0
Waiau 3,2035,1,1,1,0
Waiau 3,2036,1,1,1,0
Waiau 3,2037,1,1,1,0
Waiau 3,2038,1,1,1,0
Waiau 3,2039,1,1,1,0
Waiau 3,2040,1,1,1,0
Waiau 3,2041,1,1,1,0
Waiau 3,2042,1,1,1,0
Waiau 3,2043,1,1,1,0
Waiau 3,2044,1,1,1,0
Waiau 3,2045,1,1,1,0
Waiau 3,2046,1,1,1,0
Waiau 3,2047,1,1,1,0
Waiau 3,2048,1,1,1,0
Waiau 3,2049,1,1,1,0
Waiau 3,2050,1,1,1,0
Waiau 4,2022,1,1,1,25
Waiau 4,2023,1,1,1,25
Waiau 4,2024,1,1,1,0
Waiau 4,2025,1,1,1,0
Waiau 4,2026,1,1,1,0
Waiau 4,2027,1,1,1,0
Waiau 4,2028,1,1,1,0
Waiau 4,2029,1,1,1,0
Waiau 4,2030,1,1,1,0
Waiau 4,2031,1,1,1,0
Waiau 4,2032,1,1,1,0
Waiau 4,2033,1,1,1,0
Waiau 4,2034,1,1,1,0
Waiau 4,2035,1,1,1,0
Waiau 4,2036,1,1,1,0
Waiau 4,2037,1,1,1,0
Waiau 4,2038,1,1,1,0
Waiau 4,2039,1,1,1,0
Waiau 4,2040,1,1,1,0
Waiau 4,2041,1,1,1,0
Waiau 4,2042,1,1,1,0
Waiau 4,2043,1,1,1,0
Waiau 4,2044,1,1,1,0
Waiau 4,2045,1,1,1,0
Waiau 4,2046,1,1,1,0
Waiau 4,2047,1,1,1,0
Waiau 4,2048,1,1,1,0
Waiau 4,2049,1,1,1,0
Waiau 4,2050,1,1,1,0
Waiau 5,2022,1,1,1,12
Waiau 5,2023,1,1,1,12
Waiau 5,2024,1,1,1,12
Waiau 5,2025,1,1,1,12
Waiau 5,2026,1,1,1,12
Waiau 5,2027,1,1,1,15
Waiau 5,2028,1,1,1,15
Waiau 5,2029,1,1,1,15
Waiau 5,2030,1,1,1,15
Waiau 5,2031,1,1,1,15
Waiau 5,2032,1,1,1,15
Waiau 5,2033,1,1,1,15
Waiau 5,2034,1,1,1,15
Waiau 5,2035,1,1,1,15
Waiau 5,2036,1,1,1,15
Waiau 5,2037,1,1,1,15
Waiau 5,2038,1,1,1,15
