Year,Oil,Refuse,Biodiesel,Solar,Onshore Wind,Battery storage (4-hour),Geothermal,80% Naphtha / 20% Biodiesel,Offshore Wind,Biomass,Pumped Storage Hydro,CCGT: NG/RNG,CCGT with CCS (90% capture),CCGT: H2,Future_4HR_BATTERY,Future Solar,Future Onshore Wind,FUTURE BIODIESEL NAPHTHA,Future Biodiesel,Future Biomass,Future Hydrogen CCGT,Future Refuse,Future LNG CCGT,Future Oil,Future Biogas,Future Offshore Wind,Future_Maui_4HR_BATTERY,Future Maui Solar,Future Maui Onshore Wind,FUTURE MAUI BIODIESEL NAPHTHA,Future Maui Biodiesel,Future Maui Biomass,Future Maui Hydrogen CCGT,Future Maui Refuse,Future Maui LNG CCGT,Future Maui Oil,Future Maui Biogas,Future Maui Offshore Wind,Future_Hawaii_4HR_BATTERY,Future Hawaii Solar,Future Hawaii Onshore Wind,FUTURE Hawaii BIODIESEL NAPHTHA,Future Hawaii Biodiesel,Future Hawaii Biomass,Future Hawaii Hydrogen CCGT,Future Hawaii Refuse,Future Hawaii LNG CCGT,Future Hawaii Oil,Future Hawaii Biogas,Future Hawaii Offshore Wind,Future Maui LNG OCGT,Future Hawaii LNG OCGT,Future LNG OCGT,
2020,38,186,26,43,52,40,223,26,81,186,37,34,68,34,40,43,52,26,26,186,34,186,34,38.08703009,34,81,40,43,52,26,26,186,34,186,34,38.08703009,34,81,40,43,52,26,26,186,34,186,34,38.08703009,34,81,34,34,34,
2021,38,186,26,43,52,40,223,26,81,186,37,34,68,34,40,43,52,26,26,186,34,186,34,38.08703009,34,81,40,43,52,26,26,186,34,186,34,38.08703009,34,81,40,43,52,26,26,186,34,186,34,38.08703009,34,81,34,34,34,
2022,39,190,27,43,53,38,226,27,78,190,38,35,69,35,38,43,53,27,27,190,35,190,35,38.97376795,35,78,38,43,53,27,27,190,35,190,35,38.97376795,35,78,38,43,53,27,27,190,35,190,35,38.97376795,35,78,35,35,35,
2023,40,195,27,42,54,36,230,27,75,195,39,35,71,35,36,42,54,27,27,195,35,195,35,39.88115074,35,75,36,42,54,27,27,195,35,195,35,39.88115074,35,75,36,42,54,27,27,195,35,195,35,39.88115074,35,75,35,35,35,
2024,41,199,28,41,55,34,234,28,73,199,39,36,73,36,34,41,55,28,28,199,36,199,36,40.80965911,36,73,34,41,55,28,28,199,36,199,36,40.80965911,36,73,34,41,55,28,28,199,36,199,36,40.80965911,36,73,36,36,36,
2025,42,204,28,40,55,33,238,28,71,204,40,37,74,37,33,40,55,28,28,204,37,204,37,41.7597849,37,71,33,40,55,28,28,204,37,204,37,41.7597849,37,71,33,40,55,28,28,204,37,204,37,41.7597849,37,71,37,37,37,
2026,43,209,29,39,56,32,242,29,70,209,41,38,76,38,32,39,56,29,29,209,38,209,38,42.73203142,38,70,32,39,56,29,29,209,38,209,38,42.73203142,38,70,32,39,56,29,29,209,38,209,38,42.73203142,38,70,38,38,38,
2027,44,213,30,38,57,32,246,30,69,213,42,39,78,39,32,38,57,30,30,213,39,213,39,43.72691367,39,69,32,38,57,30,30,213,39,213,39,43.72691367,39,69,32,38,57,30,30,213,39,213,39,43.72691367,39,69,39,39,39,
2028,45,218,30,37,58,31,250,30,69,218,43,40,80,40,31,37,58,30,30,218,40,218,40,44.74495865,40,69,31,37,58,30,30,218,40,218,40,44.74495865,40,69,31,37,58,30,30,218,40,218,40,44.74495865,40,69,40,40,40,
2029,46,224,31,36,59,31,254,31,68,224,44,41,81,41,31,36,59,31,31,224,41,224,41,45.78670564,41,68,31,36,59,31,31,224,41,224,41,45.78670564,41,68,31,36,59,31,31,224,41,224,41,45.78670564,41,68,41,41,41,
