Year,Oil,Refuse,Biodiesel,Solar,Onshore Wind,Battery storage (4-hour),Geothermal,80% Naphtha / 20% Biodiesel,Offshore Wind,Biomass,Pumped Storage Hydro,CCGT: NG/RNG,CCGT with CCS (90% capture),CCGT: H2,Future_4HR_BATTERY,Future Solar,Future Onshore Wind,FUTURE BIODIESEL NAPHTHA,Future Biodiesel,Future Biomass,Future Hydrogen CCGT,Future Refuse,Future LNG CCGT,Future converted Hydrogen CCGT,Future Oil,Future Biogas,Future Offshore Wind,Future_Maui_4HR_BATTERY,Future Maui Solar,Future Maui Onshore Wind,FUTURE MAUI BIODIESEL NAPHTHA,Future Maui Biodiesel,Future Maui Biomass,Future Maui Hydrogen CCGT,Future Maui Refuse,Future Maui LNG CCGT,Future Maui converted Hydrogen CCGT,Future Maui Oil,Future Maui Biogas,Future Maui Offshore Wind,Future_Hawaii_4HR_BATTERY,Future Hawaii Solar,Future Hawaii Onshore Wind,FUTURE Hawaii BIODIESEL NAPHTHA,Future Hawaii Biodiesel,Future Hawaii Biomass,Future Hawaii Hydrogen CCGT,Future Hawaii Refuse,Future Hawaii LNG CCGT,Future Hawaii converted Hydrogen CCGT,Future Hawaii Oil,Future Hawaii Biogas,Future Hawaii Offshore Wind,Future Hawaii LNG OCGT,Future Maui LNG OCGT,Future LNG OCGT,
2020,28.64643275,5.94661947,6.129652739,0,0,0,0,6.129652739,0,5.94661947,0.62145188,2.159027483,4.318054966,2.159027483,0,0,0,6.1,6.1,5.9,2.2,5.9,2.2,2.2,28.6,2.2,0,0,0,0,6.1,6.1,5.9,2.2,5.9,2.2,2.2,28.6,2.2,0,0,0,0,6.1,6.1,5.9,2.2,5.9,2.2,2.2,28.6,2.2,0,2.2,2.2,2.159027483,
2021,28.64643275,5.94661947,6.129652739,0,0,0,0,6.129652739,0,5.94661947,0.62145188,2.159027483,4.318054966,2.159027483,0,0,0,6.1,6.1,5.9,2.2,5.9,2.2,2.2,28.6,2.2,0,0,0,0,6.1,6.1,5.9,2.2,5.9,2.2,2.2,28.6,2.2,0,0,0,0,6.1,6.1,5.9,2.2,5.9,2.2,2.2,28.6,2.2,0,2.2,2.2,2.159027483,
2022,29.31337571,6.085067982,6.27236261,0,0,0,0,6.27236261,0,6.085067982,0.635920451,2.209293713,4.418587426,2.209293713,0,0,0,6.3,6.3,6.1,2.2,6.1,2.2,2.2,29.3,2.2,0,0,0,0,6.3,6.3,6.1,2.2,6.1,2.2,2.2,29.3,2.2,0,0,0,0,6.3,6.3,6.1,2.2,6.1,2.2,2.2,29.3,2.2,0,2.2,2.2,2.209293713,
2023,29.99584636,6.226739836,6.418395036,0,0,0,0,6.418395036,0,6.226739836,0.650725878,2.260730235,4.521460471,2.260730235,0,0,0,6.4,6.4,6.2,2.3,6.2,2.3,2.3,30,2.3,0,0,0,0,6.4,6.4,6.2,2.3,6.2,2.3,2.3,30,2.3,0,0,0,0,6.4,6.4,6.2,2.3,6.2,2.3,2.3,30,2.3,0,2.3,2.3,2.260730235,
2024,30.69420621,6.371710078,6.567827373,0,0,0,0,6.567827373,0,6.371710078,0.665876003,2.313364297,4.626728594,2.313364297,0,0,0,6.6,6.6,6.4,2.3,6.4,2.3,2.3,30.7,2.3,0,0,0,0,6.6,6.6,6.4,2.3,6.4,2.3,2.3,30.7,2.3,0,0,0,0,6.6,6.6,6.4,2.3,6.4,2.3,2.3,30.7,2.3,0,2.3,2.3,2.313364297,
2025,31.40882519,6.5200555,6.720738775,0,0,0,0,6.720738775,0,6.5200555,0.681378852,2.367223779,4.734447558,2.367223779,0,0,0,6.7,6.7,6.5,2.4,6.5,2.4,2.4,31.4,2.4,0,0,0,0,6.7,6.7,6.5,2.4,6.5,2.4,2.4,31.4,2.4,0,0,0,0,6.7,6.7,6.5,2.4,6.5,2.4,2.4,31.4,2.4,0,2.4,2.4,2.367223779,
2026,32.14008185,6.671854683,6.877210244,0,0,0,0,6.877210244,0,6.671854683,0.697242636,2.422337211,4.844674423,2.422337211,0,0,0,6.9,6.9,6.7,2.4,6.7,2.4,2.4,32.1,2.4,0,0,0,0,6.9,6.9,6.7,2.4,6.7,2.4,2.4,32.1,2.4,0,0,0,0,6.9,6.9,6.7,2.4,6.7,2.4,2.4,32.1,2.4,0,2.4,2.4,2.422337211,
2027,32.88836355,6.827188038,7.037324663,0,0,0,0,7.037324663,0,6.827188038,0.713475759,2.478733788,4.957467576,2.478733788,0,0,0,7,7,6.8,2.5,6.8,2.5,2.5,32.9,2.5,0,0,0,0,7,7,6.8,2.5,6.8,2.5,2.5,32.9,2.5,0,0,0,0,7,7,6.8,2.5,6.8,2.5,2.5,32.9,2.5,0,2.5,2.5,2.478733788,
2028,33.65406665,6.986137846,7.201166847,0,0,0,0,7.201166847,0,6.986137846,0.73008682,2.536443383,5.072886767,2.536443383,0,0,0,7.2,7.2,7,2.5,7,2.5,2.5,33.7,2.5,0,0,0,0,7.2,7.2,7,2.5,7,2.5,2.5,33.7,2.5,0,0,0,0,7.2,7.2,7,2.5,7,2.5,2.5,33.7,2.5,0,2.5,2.5,2.536443383,
2029,34.43759677,7.148788305,7.368823587,0,0,0,0,7.368823587,0,7.148788305,0.747084617,2.595496567,5.190993134,2.595496567,0,0,0,7.4,7.4,7.1,2.6,7.1,2.6,2.6,34.4,2.6,0,0,0,0,7.4,7.4,7.1,2.6,7.1,2.6,2.6,34.4,2.6,0,0,0,0,7.4,7.4,7.1,2.6,7.1,2.6,2.6,34.4,2.6,0,2.6,2.6,2.595496567,
