,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Uses Conservative_nogas scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OIL,," 4,563.1 "," 4,212.5 "," 3,820.8 "," 3,707.6 "," 3,646.4 "," 3,414.3 "," 3,318.7 "," 2,609.7 "," 2,417.0 "," 2,082.0 "," 1,992.4 "," 1,828.1 "," 1,604.8 "," 1,760.9 "," 1,899.9 "," 2,072.5 "," 2,211.4 "," 2,106.7 "," 2,344.1 "," 2,494.8 "," 3,257.5 "," 3,242.0 "," 2,985.1 ", - , - , - , - , - , - ,,,,
,,GAS_CCGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GAS_OCGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HYDROGEN,,,,,,,,,,,,,,,,,,,,,,,,," 3,175.8 "," 2,948.4 "," 2,931.2 "," 3,406.8 "," 3,155.3 "," 3,116.8 ",,,,
,,SOLAR,, 454.2 , 647.8 , 881.3 , 912.3 , 924.6 ," 1,144.3 "," 1,234.1 "," 1,432.6 "," 1,662.8 "," 1,652.0 "," 1,768.0 "," 1,830.3 "," 1,798.4 "," 1,844.1 "," 2,000.6 "," 2,331.3 "," 2,477.9 "," 2,695.3 "," 2,874.2 "," 2,963.1 "," 3,131.3 "," 3,360.9 "," 3,547.0 "," 3,707.6 "," 3,679.8 "," 3,918.0 "," 4,169.6 "," 4,237.6 "," 4,569.7 ",,,,
,,Rooftop solar,," 1,098.3 "," 1,261.7 "," 1,445.7 "," 1,530.9 "," 1,599.3 "," 1,700.4 "," 1,768.3 "," 1,829.2 "," 1,893.6 "," 1,946.6 "," 2,028.6 "," 2,066.2 "," 2,103.6 "," 2,137.5 "," 2,192.0 "," 2,236.7 "," 2,258.1 "," 2,284.1 "," 2,308.0 "," 2,327.8 "," 2,367.3 "," 2,389.4 "," 2,399.0 "," 2,421.2 "," 2,434.2 "," 2,499.1 "," 2,520.4 "," 2,516.8 "," 2,535.8 ",,,,
,,GEOTHERMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
