,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Reference is based on Reference NREL Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Generation by Fuel | GWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OIL,," 4,614.3 "," 4,282.1 "," 3,906.3 "," 3,817.9 "," 3,766.6 "," 3,506.0 "," 2,981.6 "," 2,275.8 "," 2,045.4 ", 618.4 , 350.4 , 212.3 , 163.7 , 225.1 , 249.0 , 240.4 , 168.2 , 197.5 , 243.3 , 203.7 , 116.7 , 99.0 , 128.4 , - , - , - , - , - , - ,,,,
,,GAS_CCGT,, - , - , - , - , - , - , 424.2 , 401.3 , 407.2 ," 1,470.8 "," 1,502.4 "," 1,394.0 "," 1,343.9 "," 1,246.5 "," 1,203.1 "," 1,731.5 "," 1,429.0 "," 1,584.7 "," 1,591.0 "," 1,553.8 "," 2,211.8 "," 2,068.5 "," 2,169.9 ", - , - , - , - , - , - ,,,,
,,GAS_OCGT,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,
,,HYDROGEN,, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 1,743.9 "," 1,792.5 "," 1,638.1 "," 2,219.7 "," 1,754.2 "," 2,209.5 ",,,,
,,SOLAR,, 454.1 , 647.8 , 880.3 , 910.2 , 917.8 ," 1,156.9 "," 1,247.3 "," 1,406.8 "," 1,667.5 "," 1,576.4 "," 1,592.4 "," 1,483.4 "," 1,479.8 "," 1,451.8 "," 1,367.4 "," 1,633.8 "," 1,630.5 "," 1,802.2 "," 1,967.7 "," 2,073.6 "," 2,161.5 "," 2,373.3 "," 2,577.6 "," 2,582.0 "," 2,632.9 "," 2,903.3 "," 3,134.7 "," 3,325.4 "," 3,662.7 ",,,,
,,Rooftop solar,," 1,098.3 "," 1,261.7 "," 1,445.7 "," 1,524.1 "," 1,596.7 "," 1,700.4 "," 1,768.3 "," 1,828.9 "," 1,893.6 "," 1,946.6 "," 2,026.6 "," 2,069.6 "," 2,107.5 "," 2,144.0 "," 2,177.5 "," 2,236.6 "," 2,256.7 "," 2,285.3 "," 2,316.8 "," 2,329.1 "," 2,366.7 "," 2,389.1 "," 2,407.3 "," 2,421.3 "," 2,435.7 "," 2,499.3 "," 2,520.4 "," 2,521.1 "," 2,535.1 ",,,,
,,GEOTHERMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIND,, 472.3 , 470.7 , 470.2 , 467.3 , 468.5 , 465.9 , 450.6 ," 1,042.3 "," 1,045.7 "," 1,064.8 ", 993.2 , 971.2 , 963.5 , 942.4 , 933.5 , 942.9 , 854.0 , 885.9 , 870.7 , 888.7 , 828.4 , 864.0 , 853.0 , 846.5 , 838.2 , 864.7 , 871.3 , 856.9 , 861.0 ,,,,
