Technology,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIL," 4,628.6 "," 4,315.1 "," 3,955.1 "," 3,924.8 "," 3,938.4 "," 3,861.5 "," 2,673.8 "," 1,959.1 "," 1,679.4 ", 184.9 , 143.0 , 105.5 , 74.3 , 90.6 , 158.9 , 57.8 , 37.1 , 9.7 , 24.0 , 7.7 , 40.4 , 21.1 , 15.4 , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS_CCGT, - , - , - , - , - , - ," 1,168.7 "," 1,300.9 "," 1,576.7 "," 2,512.2 "," 2,556.4 "," 2,498.2 "," 2,299.4 "," 2,522.2 "," 2,688.4 "," 3,080.4 "," 3,157.8 "," 3,498.1 "," 3,781.0 "," 3,879.0 "," 4,725.2 "," 4,764.0 "," 4,895.3 ", - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS_OCGT, - , - , - , - , - , - , - , - , - , 283.8 , 163.0 , 173.2 , 157.7 , 107.9 , 145.9 , 129.9 , 64.6 , 72.0 , 57.5 , 30.7 , 94.9 , 72.5 , 75.1 , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDROGEN, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ," 4,966.6 "," 4,583.0 "," 4,726.5 "," 5,138.6 "," 4,765.4 "," 4,653.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLAR, 456.9 , 647.8 , 882.1 , 917.0 , 927.3 ," 1,217.9 "," 1,387.5 "," 1,594.7 "," 1,831.6 "," 1,921.8 "," 2,057.3 "," 2,158.8 "," 2,218.5 "," 2,144.4 "," 2,374.4 "," 2,769.0 "," 2,850.4 "," 3,068.9 "," 3,236.9 "," 3,332.3 "," 3,571.8 "," 3,804.8 "," 3,925.9 "," 4,060.8 "," 4,245.6 "," 4,352.7 "," 4,806.6 "," 4,788.0 "," 5,097.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rooftop solar," 1,099.6 "," 1,261.7 "," 1,445.7 "," 1,524.1 "," 1,596.7 "," 1,700.9 "," 1,773.1 "," 1,834.2 "," 1,894.2 "," 1,955.5 "," 2,022.0 "," 2,062.6 "," 2,108.9 "," 2,138.6 "," 2,184.4 "," 2,237.1 "," 2,254.5 "," 2,284.2 "," 2,317.0 "," 2,335.2 "," 2,378.8 "," 2,388.7 "," 2,406.2 "," 2,421.8 "," 2,438.7 "," 2,501.8 "," 2,519.6 "," 2,518.4 "," 2,535.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOTHERMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIND, 472.1 , 470.7 , 470.4 , 467.9 , 469.6 , 469.8 , 461.1 ," 1,067.9 "," 1,093.1 "," 1,097.7 "," 1,032.5 "," 1,028.0 "," 1,011.1 "," 1,014.2 "," 1,021.0 ", 985.6 , 897.4 , 949.7 , 949.9 , 962.9 , 926.4 , 923.1 , 927.3 , 934.5 , 915.1 , 961.7 , 943.3 , 947.2 , 921.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFFSHORE_WIND, - , - , - , - , - , - , - , - , - , 424.4 , 861.3 ," 1,124.7 "," 1,623.8 "," 1,827.3 "," 1,649.5 "," 1,580.2 "," 1,942.8 "," 1,842.4 "," 1,864.9 "," 2,126.6 "," 1,520.1 "," 1,548.1 "," 1,519.3 "," 1,588.5 "," 1,997.2 "," 1,926.7 "," 1,212.9 "," 1,749.6 "," 1,742.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATTERY, - , 56.5 , 166.7 , 174.8 , 187.5 , 201.1 , 208.8 , 463.4 , 759.5 , 856.3 , 887.5 , 954.9 ," 1,014.8 "," 1,070.6 "," 1,084.7 "," 1,131.6 "," 1,135.5 "," 1,134.0 "," 1,206.7 "," 1,164.8 "," 1,201.8 "," 1,263.4 "," 1,229.0 "," 1,195.4 "," 1,430.3 "," 1,426.3 "," 1,473.2 "," 1,562.2 "," 1,698.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80NAPTHTHA 20BIODIESEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOMASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIODIESEL, - , - , - , - , - , - , - , - , 0.0 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 0.8 , 0.5 , 0.8 , 7.4 , 14.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOGAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFUSE, 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 , 582.1 , 583.7 , 582.1 , 582.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 7,239.2 "," 7,333.8 "," 7,503.7 "," 7,590.6 "," 7,701.5 "," 8,033.2 "," 8,256.6 "," 8,802.2 "," 9,416.5 "," 9,818.7 "," 10,306.7 "," 10,688.1 "," 11,090.4 "," 11,497.7 "," 11,890.9 "," 12,553.7 "," 12,922.2 "," 13,441.0 "," 14,021.6 "," 14,421.3 "," 15,041.6 "," 15,367.8 "," 15,577.0 "," 15,749.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generation (GWh) - reordered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNG  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiesel  , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 7.1 , 14.2 , 6.7 , 6.3 , 13.9 , 13.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar  - Utility Grid, 454.2 , 647.8 , 877.9 , 916.8 , 926.3 ," 1,137.5 "," 1,223.4 "," 1,394.7 "," 1,659.9 "," 1,603.0 "," 1,651.2 "," 1,637.0 "," 1,624.2 "," 1,599.8 "," 1,739.6 "," 2,020.4 "," 2,213.6 "," 2,385.2 "," 2,550.9 "," 2,628.0 "," 2,780.0 "," 2,999.6 "," 3,193.0 "," 3,302.3 "," 3,371.7 "," 3,613.0 "," 3,868.6 "," 3,977.9 "," 4,279.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar - Distributed," 1,098.3 "," 1,261.7 "," 1,445.7 "," 1,530.9 "," 1,599.3 "," 1,700.4 "," 1,768.3 "," 1,829.2 "," 1,893.6 "," 1,946.6 "," 2,028.6 "," 2,066.2 "," 2,103.6 "," 2,137.5 "," 2,192.0 "," 2,236.7 "," 2,258.1 "," 2,284.1 "," 2,308.0 "," 2,327.8 "," 2,367.3 "," 2,389.4 "," 2,399.0 "," 2,421.2 "," 2,434.2 "," 2,499.1 "," 2,520.4 "," 2,516.8 "," 2,535.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onshore Wind  , 472.0 , 470.7 , 468.9 , 469.5 , 466.3 , 464.6 , 448.8 ," 1,036.2 "," 1,042.5 "," 1,061.4 "," 1,000.2 "," 1,001.1 ", 985.8 , 978.6 ," 1,003.4 ", 967.0 , 879.6 , 926.7 , 922.0 , 924.9 , 881.5 , 905.0 , 904.2 , 907.4 , 896.1 , 932.0 , 910.4 , 913.0 , 886.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offshore Wind  , - , - , - , - , - , - , - , - , - , 451.8 , 748.4 ," 1,093.0 "," 1,599.2 "," 1,753.5 "," 1,743.0 "," 1,778.2 "," 1,907.9 "," 2,100.2 "," 1,987.1 "," 1,990.5 "," 1,421.6 "," 1,422.7 "," 1,721.6 "," 1,594.9 "," 2,052.5 "," 2,049.4 "," 1,451.8 "," 1,806.7 "," 1,726.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
