Year,Biodiesel  ,Solar  - Utility Grid,Solar - Distributed,Onshore Wind  ,Offshore Wind  ,Refuse  ,Oil  ,LNG  ,Hydrogen
2022,0.00,454.21,1098.27,471.98,0.00,582.06,4563.13,0.00,0.00
2023,0.00,647.76,1261.71,470.68,0.00,582.06,4212.49,0.00,0.00
2024,0.00,877.86,1445.70,468.91,0.00,583.65,3820.77,0.00,0.00
2025,0.00,916.81,1530.95,469.51,0.00,582.06,3707.61,0.00,0.00
2026,0.00,926.35,1599.33,466.29,0.00,582.06,3646.42,0.00,0.00
2027,0.00,1137.54,1700.40,464.63,0.00,582.06,3414.33,0.00,0.00
2028,0.00,1223.36,1768.32,448.77,0.00,583.65,3318.69,0.00,0.00
2029,0.00,1394.73,1829.21,1036.16,0.00,582.06,2242.07,367.92,0.00
2030,0.00,1659.89,1893.64,1042.50,0.00,582.06,1663.04,756.16,0.00
2031,0.00,1602.99,1946.57,1061.38,451.84,582.06,190.57,1928.08,0.00
2032,0.00,1651.23,2028.56,1000.23,748.37,583.65,167.18,1918.10,0.00
2033,0.00,1636.99,2066.24,1001.05,1093.01,582.06,106.72,1873.51,0.00
2034,0.00,1624.20,2103.59,985.83,1599.18,582.06,69.56,1692.75,0.00
2035,0.00,1599.79,2137.51,978.63,1753.49,582.06,171.09,1784.66,0.00
2036,0.00,1739.63,2192.04,1003.38,1743.00,583.65,243.37,1848.99,0.00
2037,0.00,2020.37,2236.67,967.00,1778.23,582.06,116.74,2197.34,0.00
2038,0.00,2213.59,2258.08,879.61,1907.92,582.06,131.10,2274.83,0.00
2039,0.00,2385.25,2284.13,926.69,2100.23,582.06,96.60,2215.33,0.00
2040,0.00,2550.93,2308.01,922.04,1987.08,583.65,115.48,2443.67,0.00
2041,0.00,2627.97,2327.77,924.90,1990.54,582.06,76.72,2642.71,0.00
2042,0.00,2779.96,2367.32,881.55,1421.64,582.06,78.46,3457.33,0.00
2043,0.00,2999.58,2389.42,904.99,1422.65,582.06,76.35,3439.30,0.00
2044,0.00,3192.96,2398.98,904.19,1721.61,583.65,60.10,3165.72,0.00
2045,7.05,3302.30,2421.17,907.44,1594.85,582.06,0.00,0.00,3440.29
2046,14.23,3371.68,2434.23,896.06,2052.55,582.06,0.00,0.00,3120.62
2047,6.65,3613.03,2499.14,932.03,2049.38,582.06,0.00,0.00,3133.31
2048,6.28,3868.64,2520.44,910.40,1451.82,583.65,0.00,0.00,3638.18
2049,13.89,3977.86,2516.84,912.99,1806.68,582.06,0.00,0.00,3350.19
2050,13.60,4279.50,2535.80,886.01,1726.29,582.06,0.00,0.00,3294.01
