plan,year,fossil,solar,biomass,biofuel,der,onshore_wind,offshore_wind
preferred,2022,71.8,5.7,4.9,0.2,14.1,3.3,0
preferred,2030,23.1,51.1,5.4,0,17.1,3.2,0
preferred,2035,6.7,43.2,5.1,1.0,18.0,2.3,23.5
preferred,2040,3.2,47.9,4.8,3.2,17.9,0,23.0
preferred,2045,0,52.6,4.4,3.3,17.1,0.9,21.7
land_constrained,2022,71.8,5.7,4.9,0.2,14.1,3.3,0
land_constrained,2030,45.0,26.4,5.5,2.3,17.5,3.3,0
land_constrained,2035,17.2,24.9,5.2,4.6,18.3,4.0,25.8
land_constrained,2040,12.1,23.5,4.9,10.5,18.2,6.3,24.4
land_constrained,2045,0,20.7,4.5,9.7,37.9,5.7,21.6
