resource,category,mw_2030,mw_2035,mw_2040,mw_2045,gwh_2030,gwh_2035,gwh_2040,gwh_2045
CIP1 Campbell Industrial Park,Non-Renewables,129.0,129.0,129.0,129.0,49.6,30.9,81.1,0.1
DSG Airport Emergency Power Facility,Biofuels,8.0,8.0,8.0,8.0,0.6,0.3,1.3,0.5
HPON H-Power,Biomass,68.5,68.5,68.5,68.5,466.0,462.1,463.4,466.0
Kahe 1 Kahe 1,Non-Renewables,82.6,0.0,0.0,0.0,477.3,0.0,0.0,0.0
Kahe 2 Kahe 2,Non-Renewables,82.4,0.0,0.0,0.0,467.7,0.0,0.0,0.0
Kahe 3 Kahe 3,Non-Renewables,86.1,86.1,0.0,0.0,310.5,440.0,0.0,0.0
Kahe 4 Kahe 4,Non-Renewables,85.4,85.4,0.0,0.0,514.1,493.9,0.0,0.0
Kahe 5 Kahe 5,Non-Renewables,134.9,134.9,134.9,134.9,114.3,135.7,162.6,0.0
Kahe 6 Kahe 6,Non-Renewables,134.7,134.7,134.7,134.7,40.3,55.8,249.9,0.0
SCH-1 (Fossil) Schofield (Fossil fuel portion of fuel blend),Non-Renewables,48.8,48.8,48.8,48.8,67.6,93.6,161.5,0.0
SCH-1 (Biofuel) Schofield (Biofuel portion of fuel blend),Non-Renewables,48.8,48.8,48.8,48.8,61.9,85.7,147.9,116.7
Waiau 9 Waiau 9,Non-Renewables,52.9,52.9,52.9,52.9,126.4,149.5,255.5,0.0
Waiau 10 Waiau 10,Non-Renewables,49.9,49.9,49.9,49.9,92.0,117.1,217.1,0.0
KPLP1 Kalaeloa Partners 1,Non-Renewables,90.0,0.0,0.0,0.0,762.4,0.0,0.0,0.0
KPLP2 Kalaeloa Partners 2,Non-Renewables,118.0,0.0,0.0,0.0,767.6,0.0,0.0,0.0
Chevron Refinery Chevron Refinery,Non-Renewables,0.1,0.1,0.1,0.0,0.9,0.9,0.9,0.0
HIE Refinery HIE Refinery,Non-Renewables,1.7,1.7,1.7,0.0,14.4,14.4,14.5,0.0
CIDLC Commercial Industrial Direct Load Control,Non-Renewables,7.8,7.8,7.8,7.8,0.1,0.1,0.1,0.1
FDR Fast Demand Response,Non-Renewables,5.5,5.5,5.5,5.5,0.1,0.1,0.1,0.1
Load Build Load Build,Non-Renewables,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load Reduce Load Reduce,Non-Renewables,60.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0
RDLC Residential Direct Load Control,Non-Renewables,13.2,13.2,13.2,13.2,0.3,0.3,0.3,0.3
SBDLC Small Business Direct Load Control,Non-Renewables,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0
LM6000 2x1 RFP3 Stage 3 RFP Proxy Firm Resource,Planned S3 Biofuels,0.0,208.0,208.0,208.0,0.0,293.9,702.5,716.7
LM6000SC RFP3 Stage 3 RFP Proxy Firm Resource,Planned S3 Biofuels,300.0,300.0,300.0,300.0,132.5,31.1,146.2,160.4
Kahuku Wind Kahuku Wind,Onshore Wind,30.0,0.0,0.0,0.0,71.6,0.0,0.0,0.0
Kawailoa Wind Kawailoa Wind,Onshore Wind,69.0,69.0,0.0,0.0,119.1,119.1,0.0,0.0
NPM Wind Nā Pua Makani Wind,Onshore Wind,24.0,24.0,0.0,0.0,89.5,89.5,0.0,0.0
Offshore Wind Future Offshore Wind Candidate Resource,Future Offshore Wind,0.0,400.0,400.0,400.0,0.0,2290.4,2312.7,2227.2
Recovered Wind Renewed Wind PPAs,Future Offshore Wind,0.0,30.0,123.0,123.0,0.0,144.5,599.9,583.5
FIT T1&2 FIT Tier 1 and 2,Customer DER,22.3,22.3,22.3,22.3,37.8,37.8,37.8,37.8
FIT T3 PV FIT Tier 3,Customer DER,20.0,20.0,20.0,20.0,33.8,33.8,33.8,33.8
DER Curtailable Curtailable DER (2023 Levels),Customer DER,32.6,32.6,32.6,32.6,60.1,60.1,60.1,60.1
DER Uncurtailable Uncurtailable DER (2023 Levels),Customer DER,623.7,623.7,623.7,623.7,1151.6,1151.6,1151.6,1151.6
DER Curt (Future) Curtailable DER (above 2023 Levels),Future Customer DER,106.6,170.9,217.3,251.3,196.9,315.6,402.1,464.1
DER Uncurt (Future) Uncurtailable DER (above 2023 Levels),Future Customer DER,39.9,53.8,63.0,70.6,73.6,99.3,118.8,130.3
KREP PV Kalaeloa Renewable Energy Park,Solar,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
KS2 PV Kalaeloa Solar 2,Solar,5.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0
KSEP PV Kapolei Sustainable Energy Park,Solar,1.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0
Waivers PV1 Waianae Solar,Solar,27.6,27.6,0.0,0.0,65.6,65.6,0.0,0.0
"Waivers PV2 Kawailoa Solar, Lanikuhana Solar, Waipio Solar",Solar,109.6,109.6,109.6,0.0,205.1,205.1,205.5,0.0
West Loch West Loch Solar,Solar,20.0,20.0,20.0,0.0,44.3,43.1,41.9,0.0
Kūpono Kūpono Solar,Planned S2 Solar,42.0,42.0,42.0,42.0,93.3,93.3,93.3,93.3
Mountain View Solar Mountain View Solar,Planned S2 Solar,19.5,19.5,19.5,19.5,29.0,29.0,29.0,29.0
Waiawa Phase 2 Solar Waiawa Phase 2 Solar,Planned S2 Solar,60.0,60.0,60.0,60.0,105.8,105.9,105.9,105.9
Hoʻohana Solar I Hoʻohana Solar I,Planned S1 Solar,52.0,52.0,52.0,52.0,114.5,114.5,114.5,114.5
Mililani Solar I Mililani Solar I,Planned S1 Solar,39.0,39.0,39.0,39.0,93.1,93.1,93.1,93.1
Waiawa Solar Waiawa Solar,Planned S1 Solar,36.0,36.0,36.0,36.0,87.9,87.9,87.9,87.9
West Oahu Solar West Oahu Solar,Planned S1 Solar,12.5,12.5,12.5,12.5,27.6,27.6,27.6,27.6
Mililani Tech Solar 1 Mililani Tech Solar 1,Planned CBRE Solar,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5
Makakilo Solar 1 Makakilo / Palailai Solar 1,Planned CBRE Solar,3.0,3.0,3.0,3.0,5.5,5.5,5.6,5.5
KHLS Kalaeloa Home Lands Solar LLC,Planned CBRE Solar,1.7,1.7,1.7,1.7,3.2,3.2,3.2,3.2
Kaukonahua Solar Kaukonahua Solar,Planned CBRE Solar,6.0,6.0,6.0,6.0,12.9,12.9,12.9,12.9
Savio-Māʻili Solar Savio-Māʻili Solar,Planned CBRE Solar,8.1,8.1,8.1,8.1,17.3,17.3,17.3,17.3
Paired PV RFP3 Stage 3 RFP Proxy Solar Resource,Planned S3 Solar,470.0,470.0,470.0,470.0,969.9,958.6,962.7,902.0
DER Aggregate Uncurtailable DER from Aggregators,Future Solar,0.0,0.0,0.0,1310.0,0.0,0.0,0.0,2204.7
Recovered Solar Renewed Solar PPAs,Future Solar,0.0,0.0,39.0,168.0,0.0,0.0,79.1,289.0
Deferred Solar Difference in pre-Stage 3 procurement targets and actual procurements,Future Solar,165.9,165.9,165.9,165.9,347.9,347.9,348.0,347.9
