resource,category,mw_2030,mw_2035,mw_2040,mw_2045,gwh_2030,gwh_2035,gwh_2040,gwh_2045
CIP1 Campbell Industrial Park,Non-Renewables,129.0,129.0,129.0,129.0,1.1,7.3,23.5,0.0
DSG Airport Emergency Power Facility,Biofuels,8.0,8.0,8.0,8.0,0.1,0.1,0.3,0.0
HPON H-Power,Biomass,68.5,68.5,68.5,68.5,466.0,462.1,463.4,466.0
Kahe 1 Kahe 1,Non-Renewables,82.6,0.0,0.0,0.0,103.9,0.0,0.0,0.0
Kahe 2 Kahe 2,Non-Renewables,82.4,0.0,0.0,0.0,192.8,0.0,0.0,0.0
Kahe 3 Kahe 3,Non-Renewables,86.1,86.1,0.0,0.0,45.8,175.8,0.0,0.0
Kahe 4 Kahe 4,Non-Renewables,85.4,85.4,0.0,0.0,289.2,236.3,0.0,0.0
Kahe 5 Kahe 5,Non-Renewables,134.9,134.9,134.9,134.9,49.9,36.4,8.0,0.0
Kahe 6 Kahe 6,Non-Renewables,134.7,134.7,134.7,134.7,0.1,45.4,59.9,0.0
SCH-1 (Fossil) Schofield (Fossil fuel portion of fuel blend),Non-Renewables,48.8,48.8,48.8,48.8,1.2,22.1,53.7,0.0
SCH-1 (Biofuel) Schofield (Biofuel portion of fuel blend) Non-Renewables 1.1 20.3 49.2 33.0 Waiau 9 Waiau 9,Non-Renewables,52.9,52.9,52.9,52.9,1.7,38.5,79.2,0.0
Waiau 10 Waiau 10,Non-Renewables,49.9,49.9,49.9,49.9,0.7,27.1,68.5,0.0
KPLP1 Kalaeloa Partners 1,Non-Renewables,90.0,0.0,0.0,0.0,651.8,0.0,0.0,0.0
KPLP2 Kalaeloa Partners 2,Non-Renewables,118.0,0.0,0.0,0.0,620.8,0.0,0.0,0.0
Chevron Refinery Chevron Refinery,Non-Renewables,0.1,0.1,0.1,0.0,0.9,0.9,0.9,0.0
HIE Refinery HIE Refinery,Non-Renewables,1.7,1.7,1.7,0.0,14.4,14.4,14.5,0.0
CIDLC Commercial Industrial Direct Load Control,Non-Renewables,7.8,7.8,7.8,7.8,0.1,0.1,0.1,0.1
FDR Fast Demand Response,Non-Renewables,5.5,5.5,5.5,5.5,0.1,0.1,0.1,0.1
Load Build Load Build,Non-Renewables,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Load Reduce Load Reduce,Non-Renewables,60.0,0.0,0.0,0.0,24.6,0.0,0.0,0.0
RDLC Residential Direct Load Control,Non-Renewables,13.2,13.2,13.2,13.2,0.3,0.3,0.3,0.3
SBDLC Small Business Direct Load Control,Non-Renewables,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0
LM6000 2x1 RFP3 Stage 3 RFP Proxy Firm Resource,Planned S3 Biofuels,0.0,208.0,208.0,208.0,0.0,65.6,207.6,267.6
LM6000SC RFP3 Stage 3 RFP Proxy Firm Resource,Planned S3 Biofuels,300.0,300.0,300.0,300.0,0.9,7.1,51.3,42.4
Kahuku Wind Kahuku Wind,Onshore Wind,30.0,0.0,0.0,0.0,71.6,0.0,0.0,0.0
Kawailoa Wind Kawailoa Wind,Onshore Wind,69.0,69.0,0.0,0.0,119.1,119.1,0.0,0.0
NPM Wind Nā Pua Makani Wind,Onshore Wind,24.0,24.0,0.0,0.0,89.5,89.5,0.0,0.0
OffshoreWind Future Offshore Wind Candidate Resource,Future Offshore Wind,0.0,400.0,400.0,400.0,0.0,2113.7,2213.2,2272.5
Recovered_Wind Renewed Wind PPAs,Future Offshore Wind,0.0,0.0,0.0,22.0,0.0,0.0,0.0,97.1
FIT T1&2 FIT Tier 1 and 2,Customer DER,22.3,22.3,22.3,22.3,37.8,37.8,37.8,37.8
FIT T3 PV FIT Tier 3,Customer DER,20.0,20.0,20.0,20.0,33.8,33.8,33.8,33.8
DER Curtailable Curtailable DER (2023 Levels),Customer DER,32.6,32.6,32.6,32.6,60.1,60.1,60.1,60.1
